nombre,apellido,becado,tipo_ingreso,tipo_universidad,ingreso_cantidad
Lic. Porfirio,Vaca,1,Beca,Privada,386.25
María Páez,Posada,1,Apoyo familiar,Privada,<NULL>
Mateo,Rodriguez,0,Otro,Pública,287.26
Gregorio Pozo,Saldaña,0,Otro,Pública,220.17
María María Ardila,Torres,0,Apoyo familiar,Privada,402.72
María Eugenia Arteaga,Muro,0,Crédito educativo,Pública,333.15
Sr(a). Eduardo,Quintanilla,0,Crédito educativo,Pública,270.98
<NULL>,Fernandez,0,,Privada,206.85
Araceli Ávila,Bosch,0,Trabajo,{BAD},247.15
Enrique Carrillo,Herrera,0,Apoyo familiar,Pública,440.8
Florencia Maximiliano Aguero,Ramirez,VAL7929,Apoyo familiar,Pública,417.34
Carmen Escrivá,Olmo,[DAMAGED],INVALID,Pública,332.91
Ing. Estela,Briseño,0,Apoyo familiar,Pública,254.88
Jafet Puig,Rosell,0,Apoyo familiar,Pública,259.68
Dr(a). Thiago Gabriel,Martinez,0,C0RRUPT3D,Pública,185.58
Reyes Gallego,Carreño,0,Apoyo familiar,Pública,0.0
Dr. Minerva,Lomeli,0,Apoyo familiar,Pública,365.98
Felicidad Alberola,$$$,0,Apoyo familiar,Pública,309.53
,,,,,
[DAMAGED],Martínez,0,Otro,Pública,212.5
Manuel Andrés Martínez,[DAMAGED],0,Apoyo familiar,Privada,460.01
Mar Tenorio,Rincón,0,Otro,Pública,239.21
Máxima África Diaz,Calzada,0,???,Pública,INVALID
Santiago Benjamin Julia Perez,Sanchez,0,[DAMAGED],C0RRUPT3D,275.81
Emma Maximo,Aguirre,1,Apoyo familiar,,450.45
Anabel Elias,Zedillo,0,Apoyo familiar,Pública,299.97
Dr(a). Mateo Benjamin,Aguirre,1,Apoyo familiar,Privada,492.69
Amador Nancy,Zepeda,0,Apoyo familiar,Pública,298.07
Alejandro Molina,Parra,0,Apoyo familiar,Pública,535.35
Hilario Cervantes,INVALID,1,Crédito educativo,XX,$$$
,,,,,
Darío Noelia Santacruz,Rosario,0,INVALID,Pública,342.53
Paula Bianca,Gomez,0,Otro,Pública,
Leoncio,Giner,0,Otro,Pública,275.86
Paula Isabel,Cárdenas,0,[DAMAGED],Pública,∞∞∞
,,,,,
Natalia Cardenas,Saldivar,0,Trabajo,Pública,[DAMAGED]
∞∞∞,Martinez,0,Otro,Pública,256.49
Mario Manuel,Bernal,0,Apoyo familiar,Privada,500.11
Camila Sandra Flórez,Murcia,0,Trabajo,Pública,334.9
,,,,,
Sr(a). Lola,Carrizo,0,Apoyo familiar,@@@,219.5
Carmelita Barroso,Sebastián,0,Otro,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,323.28
Lucía Tomás,Morales,1,Beca,Privada,421.1
Rodrigo Barrientos,Mora,0,Trabajo,Pública,266.57
Aristides Castell,Herrera,1,∞∞∞,Privada,523.52
María Santillán,Alvarado,0,Apoyo familiar,Pública,413.09
Thiago Valentin,###CORRUPT###,{BAD},Apoyo familiar,###CORRUPT###,<NULL>
Bautista,Olivera,0,Apoyo familiar,Pública,430.53
Luciana Valentino Vazquez,Martinez,0,Crédito educativo,Pública,302.99
Elisa Dalia,Lozano,0,Apoyo familiar,Pública,347.81
Francesca Carrizo,Figueroa,0,Apoyo familiar,Pública,400.93
,,,,,
Yeni Cristian,Cuellar,@@@,Otro,Pública,488.83
Lic. Angélica,Pichardo,0,Crédito educativo,Pública,INVALID
Judith,Vergara,0,Apoyo familiar,@@@,413.21
Bautista Benicio,$$$,0,Apoyo familiar,Pública,369.2
Isabella Lorenzo,Flores,0,Crédito educativo,Pública,257.78
,,,,,
,,,∞∞∞,,
Dr. Rebeca,{BAD},0,Apoyo familiar,Privada,650.14
Fernando,Martínez,1,Trabajo,Privada,143.46
Marta Feijoo,Isern,0,Trabajo,Pública,229.27
César Salma,Valladares,0,Trabajo,Pública,242.92
Noelia Agustina Cisneros,Moya,0,Apoyo familiar,Pública,409.34
Felipe Juarez,Rios,0,Otro,Pública,249.95
,,,,,
Dulce Espinosa,Huerta,1,Crédito educativo,C0RRUPT3D,288.57
Martina Navarro,,0,Crédito educativo,Pública,412.39
Jacobo,Calvillo,0,Apoyo familiar,Pública,270.71
Valentino Sofia,Luna,0,Apoyo familiar,Pública,343.42
Gabriel Catalina,Bravo,,Apoyo familiar,INVALID,0.0
Teodoro,Briseño,0,Apoyo familiar,Pública,334.47
Jose Antonio Enríquez,Castellanos,∞∞∞,Apoyo familiar,Pública,
Alejandra Valero,Montenegro,0,Trabajo,Pública,233.18
Sr(a). Renato,Contreras,0,Apoyo familiar,C0RRUPT3D,269.36
Mtro. Victoria,Chapa,0,Apoyo familiar,Pública,384.58
Dr(a). Victoria,,0,Trabajo,XX,249.0
[DAMAGED],<NULL>,1,Otro,Privada,471.27
,<NULL>,,,,
Augusto Ciro Aguirre,Torres,X,Crédito educativo,Pública,179.67
Dr(a). Maximiliano,Gomez,1,Apoyo familiar,@@@,590.21
,,,,,
Ileana del,Jáuregui,0,Trabajo,XX,192.42
Enrique,Escobar,0,Apoyo familiar,Pública,419.04
María,Beltrán,1,Beca,Privada,{BAD}
Daniel,Galvis,0,Apoyo familiar,Pública,368.53
Nathalia Carrillo,595338,0,Apoyo familiar,,331.29
Paula Benjamin Mendez,Fernandez,1,Beca,###CORRUPT###,###
Álvaro Juan,###CORRUPT###,0,Apoyo familiar,Privada,520.06
,∞∞∞,INVALID,,,<NULL>
[DAMAGED],Lopez,@@@,Apoyo familiar,Privada,695.84
Santino Nicolas Maximo,Cordoba,0,Trabajo,Pública,VAL2296
Pelayo Losada,,0,Otro,Privada,C0RRUPT3D
Mora Santino,∞∞∞,0,Crédito educativo,Pública,291.33
Santino Rivero,Rodriguez,0,$$$,Pública,303.21
,,,,,
Dr(a). Simon,Castro,1,Beca,Privada,400.38
Mia Morena Juan Gabriel Gomez,Flores,0,Apoyo familiar,Pública,320.75
Sr(a). Timoteo,Franco,0,Apoyo familiar,Privada,217.54
Claudia,Blanco,0,Apoyo familiar,Pública,189.14
∞∞∞,Acevedo,0,Otro,Pública,432.76
Tito Querol,Rodriguez,C0RRUPT3D,???,Privada,444.68
Merche Barrios,Miralles,0,Apoyo familiar,Pública,381.2
Francisca Marco,Calatayud,1,Beca,Privada,359.45
Sr(a). Julieta,Rodriguez,0,Trabajo,Pública,296.81
Lupita Consuelo Catalán,Belda,0,Trabajo,Pública,194.06
,,,,,
Francisco Misael Ruiz,Torres,0,Crédito educativo,INVALID,242.95
Gregorio,Gutiérrez-Salom,1,Otro,C0RRUPT3D,313.91
∞∞∞,Castro,0,Apoyo familiar,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,265.67
Guillermina,Sanchez,1,Apoyo familiar,Privada,444.79
[DAMAGED],Gutiérrez,@@@,Beca,,532.18
Leonor Patricia Córdova,Guajardo,1,Beca,Privada,0.0
Agustin Simon Quiroga,Sanchez,0,Crédito educativo,Pública,338.92
INVALID,Acosta,0,Apoyo familiar,Pública,394.35
Dr(a). Santino,Flores,1,Beca,∞∞∞,###CORRUPT###
Santino Flores,@@@,INVALID,Apoyo familiar,XX,435.2
Sr(a). Alma,Perez,1,Apoyo familiar,###,568.59
949901,,,,,
Francisco Javier Oliver,Tomé,0,Crédito educativo,Pública,325.55
Luca,Suarez,0,Apoyo familiar,Pública,347.63
Gabriel Óscar Solano,Vergara,1,???,Privada,
Jhonny Calderón,Vargas,0,Apoyo familiar,Pública,354.65
María Giraldo,Gómez,[DAMAGED],Apoyo familiar,Pública,290.36
Valentin Martin,Suarez,0,Crédito educativo,@@@,221.05
Sr(a). Pilar,,0,Trabajo,Pública,<NULL>
Santiago Benjamin Julia Perez,Sanchez,0,Trabajo,Pública,245.23
∞∞∞,Vargas,0,Apoyo familiar,Pública,401.41
@@@,Bueno,INVALID,Apoyo familiar,[DAMAGED],
Elisabet Débora Perelló,Vicente,0,Apoyo familiar,Pública,463.5
Alejo Luisana,Castillo,0,###CORRUPT###,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,293.14
Fernanda Esperanza Jiménez,Hernández,0,[DAMAGED],Pública,372.2
Marisela,Flórez,0,Apoyo familiar,Pública,
Alonso Laura Mireles,Curiel,0,Apoyo familiar,Pública,380.68
Alfredo,Rentería,0,Crédito educativo,Pública,388.68
José Monroy,Zapata,X,Crédito educativo,Privada,388.85
Matilde Pineda,Erazo,0,Apoyo familiar,Pública,237.1
Lautaro Benjamin,Gutierrez,1,@@@,Privada,262.63
Ing. Dulce,Ceballos,0,Apoyo familiar,Pública,INVALID
Alejandro Almonte,Soto,1,Apoyo familiar,Privada,397.13
Mateo Irene,$$$,0,Apoyo familiar,Pública,233.58
Andrés Alta Gracia Fonseca,Vélez,1,Beca,Privada,431.18
Guillermina Mia Jazmin,Olivera,0,Apoyo familiar,Pública,339.36
Erick Valencia,Acevedo,0,C0RRUPT3D,Pública,340.96
Amado Sanz,Catalán,0,###,C0RRUPT3D,467.84
María Claudia,,0,112281,Privada,0.0
Cándido Bas,Puga,0,Apoyo familiar,Pública,<NULL>
Lautaro Benjamin,Rivero,0,Trabajo,Pública,170.56
Esteban José Eduardo,Calderón,0,Apoyo familiar,Pública,557.54
[DAMAGED],Vargas,0,Apoyo familiar,Pública,388.02
Sr(a). Malena,Sosa,0,Apoyo familiar,Privada,354.59
Sr(a). Marcela,Guillen,X,Trabajo,@@@,286.73
Tiziano Benjamin Cruz,Acosta,1,Beca,Privada,463.84
###CORRUPT###,Rivero,1,$$$,Privada,311.24
Andrés Juan Vargas,Cano,C0RRUPT3D,Apoyo familiar,Pública,C0RRUPT3D
Abril Navarro,Alberto,0,Trabajo,Pública,316.94
Clara,Roig,1,Apoyo familiar,Privada,552.96
Mercedes María del Carmen Méndez,Malave,@@@,Apoyo familiar,Pública,392.53
@@@,Jiménez,1,Beca,Privada,494.45
Horacio Ana,Ojeda,0,Crédito educativo,Pública,449.1
,,,,,
<NULL>,Nevárez,0,Apoyo familiar,Pública,395.26
Paola Camargo,García,0,Apoyo familiar,Pública,366.4
Luis,García,0,C0RRUPT3D,Pública,326.24
Susanita,Casanovas,0,Trabajo,529108,180.86
Angélica Arana,Calvo,0,Apoyo familiar,Pública,342.83
,,,,,
@@@,Rodriguez,,Otro,Privada,382.09
Jesús Fabiola,Balderas,1,Beca,Privada,[DAMAGED]
María Viviana Suárez,Becerra,0,Apoyo familiar,Pública,413.92
Alejandro,Gil,1,Beca,Privada,477.07
Leoncio Segovia,Arroyo,1,Beca,Privada,412.24
Mateo Valentino Moyano,Gomez,1,Apoyo familiar,XX,[DAMAGED]
Camilo Humberto Armendáriz,Cavazos,1,Beca,Privada,536.81
Gerardo,Calderón,0,Trabajo,,281.62
Lucas Gustavo Cruz,Arenas,0,{BAD},Pública,310.16
Ester,Falcón,0,Otro,Pública,430.83
Dr(a). Santino,Flores,X,Trabajo,Privada,177.76
,Infante,1,Apoyo familiar,Privada,392.83
Ignacio Rios,Villalba,0,Apoyo familiar,Pública,274.04
Oswaldo,Vargas,1,Beca,Privada,507.88
Pilar Mateo Benjamin,∞∞∞,1,Trabajo,###CORRUPT###,298.25
Pablo,,0,Otro,Pública,465.98
Rita,Pou-Juan,0,Apoyo familiar,Pública,385.79
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Vélez,0,???,Pública,353.49
Luca Lisandro,Barrios,0,Apoyo familiar,,353.79
Jenaro Cabo,Beltrán,0,Trabajo,Pública,238.27
INVALID,García,0,???,Pública,268.95
Luis Camilo Villamil,$$$,0,Apoyo familiar,∞∞∞,294.7
Liliana,Fonseca,0,Apoyo familiar,Pública,359.53
Haroldo Villalba,Ferrándiz,0,Trabajo,Pública,250.2
María Suárez,Martínez,0,Apoyo familiar,∞∞∞,337.53
Lic. Pilar,Razo,0,$$$,Pública,429.95
Mateo Fernandez,Gimenez,1,Beca,{BAD},289.03
Anunciación Casares,Andreu,INVALID,Apoyo familiar,Pública,463.61
Yolanda Nelcy,@@@,0,Otro,Pública,330.84
Sessa Carlota Avilés,Canales,0,Apoyo familiar,Pública,364.69
Adriana Bruno Espinal,Verdugo,0,INVALID,Pública,427.07
Octavia Arranz,Heras,0,Apoyo familiar,Pública,{BAD}
Esmeralda Hernández,Rolón,0,Apoyo familiar,Pública,357.97
Florentina Camino,Morales,0,@@@,Pública,294.66
Natalia,Zapata,0,Apoyo familiar,Pública,348.81
Sofia Belen,Pereyra,1,áéíóú ñ,Privada,214.93
José,González,0,Trabajo,###CORRUPT###,281.99
Esteban Elsa,Aguirre,1,???,Privada,536.38
$$$,Pinto,0,Otro,Pública,382.32
Benjamin Molina,Gonzalez,0,Trabajo,Pública,259.83
Dr. Omar,Lira,0,Apoyo familiar,Pública,474.1
Camila Santino,Benitez,0,Apoyo familiar,Pública,303.85
Antonio,Martínez,1,Apoyo familiar,Privada,634.71
Miriam Eligia Bernat,Marcos,0,Apoyo familiar,Pública,499.06
Perla Daniel Quiñones,Guerrero,0,Crédito educativo,Pública,275.44
Gloria Vidal,Sacristán,X,Apoyo familiar,Pública,341.41
María Teresa Muro,Meza,1,Beca,Privada,294.11
Carlos,Flórez,0,Trabajo,Privada,217.54
Sofia Ramirez,Franco,0,Apoyo familiar,Pública,187.41
Verónica,Salas,###,Crédito educativo,Pública,393.62
Zaida Águila,Vélez,VAL5501,Crédito educativo,,230.57
{BAD},Hoyos,0,Trabajo,C0RRUPT3D,239.33
Sr(a). Malena,Fernandez,0,Crédito educativo,Pública,276.74
Loreto Guzmán,Beltran,0,Crédito educativo,Privada,282.46
<NULL>,Galindo,0,Trabajo,Pública,∞∞∞
Sr(a). Mateo Valentin,Suarez,0,Otro,Pública,455.99
Germán Sandra,Casares,0,Apoyo familiar,,[DAMAGED]
∞∞∞,Garibay,0,Apoyo familiar,Pública,392.93
Jeremias Bautista,Moreno,0,Apoyo familiar,Pública,358.92
Francesca Valentino,Muñoz,0,Apoyo familiar,Pública,0.0
,,,,,
Sofia Molina,,0,Apoyo familiar,Pública,309.82
Chema Vilaplana,Carreras,0,ERR!!,<NULL>,370.09
José Emilio,Bravo,0,Crédito educativo,[DAMAGED],@@@
Luz,Mora,0,Apoyo familiar,Pública,297.67
Maria Paz Joaquin Torres,Vega,,Beca,Privada,∞∞∞
Bernardo,Castañeda,@@@,{BAD},Pública,282.73
Rosaura de,Ramis,0,Apoyo familiar,Pública,416.09
,,,,{BAD},
Domitila Bolaños,Varela,0,Otro,Pública,303.19
Carmen,Morales,0,Apoyo familiar,Pública,360.45
Dr(a). Luna,Nuñez,0,Trabajo,Pública,254.28
Juanita Bilbao,Crespi,0,$$$,954854,381.39
Araceli,Villa,$$$,Otro,Pública,321.47
Catalina Morena Jazmin Romero,@@@,0,Apoyo familiar,Pública,430.95
Henry,<NULL>,1,Trabajo,Privada,268.06
Paola Nadia Donoso,Bauzà,0,Apoyo familiar,Pública,273.83
<NULL>,Conesa,0,Apoyo familiar,Pública,492.49
Sr(a). Josefina,Luna,0,Crédito educativo,,315.47
,,,,,
Cristian Edgar Fonseca,Mejía,1,Otro,Privada,407.87
,,,,,
ERR!!,Vazquez,0,Trabajo,Privada,228.93
Concepción Benítez,Robledo,0,Apoyo familiar,Pública,497.39
Ian Ezequiel Gonzalez,,0,Apoyo familiar,Pública,337.8
Teófilo Antúnez,Martín,0,Apoyo familiar,Pública,288.33
,,,,,
,,0,Trabajo,Pública,207.36
Valentina Jazmin Delfina,Martin,0,Apoyo familiar,###CORRUPT###,0.0
Luisa Luz Aguilar,Rodríguez,0,Crédito educativo,Pública,394.95
Wendolin,Chapa,0,Crédito educativo,Pública,295.33
,,,{BAD},,
Hilario Cervantes,Guardia,1,Otro,Privada,236.17
468781,,1,Otro,Privada,443.03
Horacio Juan,Rendón,1,Trabajo,Privada,207.16
Sergio Razo,Laureano,0,Apoyo familiar,Pública,338.04
Dr(a). Franco,Martinez,0,Apoyo familiar,Pública,355.24
<NULL>,Agudelo,1,Trabajo,Privada,293.14
{BAD},Núñez,0,Crédito educativo,∞∞∞,302.01
Ruby,Puga,,Otro,Privada,355.18
Berto Jordá,120385,0,Crédito educativo,Pública,279.24
Nico Anastasio Iglesia,Cabello,0,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Pública,272.79
Juan Francisco Alfonso Montaña,Conde,0,Apoyo familiar,Pública,373.1
William Julián,Gómez,VAL5043,Trabajo,Pública,302.59
Iván Esther,Angulo,1,Beca,Privada,321.3
Carlos Ramiro,Jaramillo,1,áéíóú ñ,Privada,499.97
Elena Casanova,Pedro,1,Apoyo familiar,Privada,634.66
,,,,,
Olga Lida Acosta,Londoño,0,Trabajo,∞∞∞,$$$
Mtro. Teresa,Aguirre,1,Beca,Privada,650.16
Albina Vigil,Cantero,1,Apoyo familiar,Privada,839.45
Leydi Diana,Cárdenas,1,Beca,Privada,288.44
@@@,Corral,0,???,Pública,###CORRUPT###
Valero del,Galiano,VAL7813,<NULL>,Pública,267.14
Claudia Luis Manuel Páez,Valle,X,Crédito educativo,Pública,312.48
992407,Mendoza-Alegre,0,Apoyo familiar,Pública,297.46
Francisco Javier Camilo,López,0,Apoyo familiar,Pública,[DAMAGED]
Benjamin Alejandro Lopez,C0RRUPT3D,0,Apoyo familiar,Pública,412.9
Amparo,,0,Apoyo familiar,@@@,356.4
Lautaro Benjamin Zoe Jazmin,Franco,0,Crédito educativo,Pública,
Alejandra Stella Contreras,Rincón,0,Crédito educativo,XX,328.53
Jazmin Lucas Maidana,Muñoz,0,Apoyo familiar,∞∞∞,446.16
Bautista Benjamin Vega,Farias,-9999.0,Apoyo familiar,Pública,0.0
Lic. Beatriz,Ceja,0,Apoyo familiar,Pública,245.42
Mtro. César,Montes,1,,Privada,282.65
,,,,,
Jorge Luis Jos Villalpando,Tafoya,0,Apoyo familiar,Privada,358.77
Jesús,González,0,Apoyo familiar,Pública,307.05
Lucas Gustavo Cruz,Arenas,0,Apoyo familiar,Pública,251.62
Irene,Alba,0,{BAD},###CORRUPT###,416.51
###CORRUPT###,Jaimes,0,Apoyo familiar,Pública,419.17
Reynaldo Adela,Nevárez,VAL5372,Trabajo,Privada,258.63
Aurora,∞∞∞,1,Beca,Privada,424.8
,,,,,10000000000.0
Pilar Homero Jaramillo,Perales,0,Apoyo familiar,Pública,353.24
Nilda Barrio,Gordillo,0,Trabajo,Pública,208.29
,,,,,
Esparta Anabel,Chavarría,0,Crédito educativo,{BAD},287.06
Vidal,Miralles-Baró,0,Apoyo familiar,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,351.68
Micaela Gloria,C0RRUPT3D,0,Crédito educativo,Privada,317.46
Ing. Adán,Gonzales,VAL4991,Crédito educativo,Privada,327.5
<NULL>,Torres,0,Apoyo familiar,ERR!!,@@@
Cristian Medrano,Zambrano,0,Apoyo familiar,Pública,319.79
$$$,Canet-Ramírez,0,Apoyo familiar,Pública,338.92
Violeta,Rendón,1,Apoyo familiar,Privada,483.41
María Elena Cruz,Uribe,0,Crédito educativo,Pública,224.93
Amor Carranza,Coloma,1,Otro,Privada,353.63
Aurelio Sergio,Olivo,[DAMAGED],Apoyo familiar,Pública,269.0
{BAD},Correa,0,INVALID,Privada,479.01
Bernardita Gimeno,Blanco,0,Trabajo,Pública,317.31
Felipe Cárdenas,Gómez,1,Beca,Privada,522.18
Valentino Bautista Benjamin Ledesma,Gonzalez,0,Crédito educativo,Pública,C0RRUPT3D
Lic. Zeferino,Villanueva,0,Apoyo familiar,Pública,484.94
Eduardo Carlos,Contreras,<NULL>,Otro,Pública,485.02
Luis Jorge Solano,Salgado,0,Trabajo,Pública,$$$
,,ERR,,,
Lola Mateo Benjamin Soto,Diaz,1,Beca,Privada,323.69
Alexander,Contreras,1,Beca,Privada,434.36
Sr(a). Santino,Ramirez,1,Crédito educativo,Privada,284.51
Claudio Aurelio Osorio,Alejandro,1,Beca,Privada,506.79
Leydi Liliana,###CORRUPT###,0,,Pública,VAL4581
Perla Alfredo,Olivo,1,Beca,C0RRUPT3D,421.51
Micaela,Carreón,0,Trabajo,Pública,291.82
Eric Luciano Espada,Alcázar,0,Apoyo familiar,Pública,293.71
Amanda Rosalia,Méndez,1,Beca,Privada,265.68
Ian Ezequiel Sofia Gomez,Arias,0,Apoyo familiar,Pública,365.58
[DAMAGED],Zelaya,0,Apoyo familiar,Pública,364.28
Mtro. Ignacio,<NULL>,0,???,Pública,329.59
Dr. Ángela,{BAD},0,∞∞∞,Pública,297.96
Luis López,,0,<NULL>,Pública,393.73
,,,,,
C0RRUPT3D,Criado,0,Apoyo familiar,Pública,279.03
∞∞∞,Navarro-Alberdi,0,???,Pública,325.39
Juan Rodríguez,Silva,0,Trabajo,Privada,259.58
Zoé Vicente Niño,Alba,0,Apoyo familiar,XX,297.55
,[DAMAGED],,,,
Samuel Salvador,Santiago,1,Beca,Privada,391.48
Marcial Cárdenas,Abad,1,Apoyo familiar,Privada,546.41
Nayibe Constanza Gómez,Sánchez,0,Crédito educativo,Privada,269.75
Dr(a). Joaquín,Gonzalez,1,349207,Privada,333.86
∞∞∞,{BAD},0,Apoyo familiar,Pública,392.36
Óscar José María,Noriega,0,ERR!!,Pública,288.89
Amor Carranza,Coloma,1,Beca,Privada,388.65
,,,,,
Catalina Rodriguez,Benitez,0,Crédito educativo,Pública,296.67
Gastón Marcos,Pelayo,0,$$$,Pública,339.38
Violeta,Lucero,0,Apoyo familiar,Privada,801.24
Amada Castelló,Bonilla,0,$$$,Privada,597.6
Trinidad,Medrano,0,???,Pública,INVALID
Edilberto Mario,Zapata,0,###CORRUPT###,Pública,377.58
Francisco Edgar,Acosta,0,Apoyo familiar,Pública,493.0
Benjamin,Alvarez,0,Otro,C0RRUPT3D,416.12
Victoria Benjamin Benitez,Perez,[DAMAGED],{BAD},{BAD},319.92
Mayte Aragón,Palau,0,Trabajo,###CORRUPT###,216.14
Isabel Ospina,Peña,0,Trabajo,Pública,194.89
Sr(a). Mateo Valentin,Suarez,0,Apoyo familiar,,340.08
Alexander,Sánchez,0,INVALID,Pública,393.04
Edinson Héctor Cardozo,Torres,0,Otro,Pública,414.85
Lic. Dolores,Lerma,0,Apoyo familiar,Pública,C0RRUPT3D
Carla Berríos,Salcedo,0,Apoyo familiar,Privada,826.81
Claudia Reyna,Negrón,0,Crédito educativo,Pública,186.5
Pía Ligia Valdés,Morán,###CORRUPT###,Trabajo,Pública,271.39
Jesús,Pabón,VAL1512,Apoyo familiar,,366.41
Amado Mesa,Cuéllar,0,Otro,,347.4
Dr(a). Malena,Correa,0,Trabajo,Pública,273.55
Áurea Máxima Lastra,Andres,<NULL>,Trabajo,Pública,208.61
Mtro. Zoé,Dueñas,0,Crédito educativo,Pública,C0RRUPT3D
Etelvina Laura Aliaga,Caparrós,0,$$$,Pública,219.2
Gema,Alba-Mateo,0,Apoyo familiar,Pública,382.28
Soledad,Duarte-Artigas,0,<NULL>,Pública,522.01
Sr(a). Fausto,Lopez,0,Trabajo,,184.39
Dr(a). Paulina,Cabrera,0,Trabajo,{BAD},293.21
Olga Montemayor,Sanches,1,Beca,{BAD},411.73
Lic. Porfirio,Vaca,@@@,Apoyo familiar,Privada,463.87
Heidy Teresa Caro,Peña,0,Apoyo familiar,Pública,339.64
,,,,,
###,Rosa,0,Apoyo familiar,,332.3
Amalia,Belmonte-Pallarès,1,Beca,Privada,348.23
C0RRUPT3D,Alonzo,1,Trabajo,Privada,232.1
Antonio,Martínez,1,Beca,Privada,340.75
María Luisa Jerónimo,Magaña,0,Apoyo familiar,Pública,316.43
Ciro Feliciano Sierra,$$$,0,Otro,[DAMAGED],232.78
María,Zapata,0,Apoyo familiar,XX,$$$
Mariela Ivonne,###CORRUPT###,1,Apoyo familiar,Privada,439.38
Lara,∞∞∞,VAL7599,Apoyo familiar,Pública,$$$
Mauro Ozuna,Bétancourt,,INVALID,Pública,390.28
Emilia Ferrero,Clemente,0,Apoyo familiar,Pública,490.68
Richard,Pedraza,0,###CORRUPT###,Pública,285.47
Lilia,Jiménez,0,Apoyo familiar,Pública,265.21
