nombre,apellido,ciudad,becado,tipo_universidad,categoria_gasto,gasto_categoria
Juan Bautista Sofía,Vera, Pedro Vicente Maldonado,0,Pública,Educación,75.29
Santino Rodriguez,Rojas,San Lorenzo,1,<NULL>,Transporte,101.24
Javiera Soriano,Manuel, Esmeraldas,0,Pública,Vivienda,100.8
Fredy Hernández,Galindo,<UNK>,0,Pública,Alimentación,45.58
Dary Torres,Arias, Alausí,0,Pública,Alimentación,53.47
Antonia Alejandra Álvarez,Ospino, Calceta,0,Pública,Transporte,27.04
,Lara,San Lorenzo,0,Privada,Ocio y personales,59.46
Dalia Víctor Niño,Galván,Cayambe,0,Pública,Otros,18.57
Maria Emilia,Escobar,Loja,,Privada,Transporte,81.79
Lic. Miguel,Caballero, Celica,0,Pública,Ocio y personales,32.58
Pili Bartolomé,Mancebo,Catarama,0,@@@,Vivienda,101.6
Petrona,Oliva, Macará,1,Privada,Ocio y personales,132.21
Leonel del,,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,Pública,Vivienda,186.0
Benito Carmen Reynoso,Elizondo, Montalvo,NO,Privada,Alimentación,
Alejandro Sánchez,Martínez,Sangolquí,0,Pública,Vivienda,-500.0
Manuel,Rodríguez,DAMAGED,0,Pública,Ninguno,31.0
Juan Pablo Milagros Ledesma,, Jujan,1,Privada,Vivienda,230.06
Agustin,Rojas,DAMAGED,0,Pública,Ocio y personales,31.35
Julio César,Véliz,{ERR},0,Pública,Ocio y personales,13.44
Esteban Juan,Giraldo, Daule,0,Pública,Otros,10.8
Dr(a). Benicio,Benitez, Biblián,0,Pública,Otros,25.26
Paloma de,, La Joya de los Sachas,0,Pública,Vivienda,67.58
Marcela Camila,Arellano, Valdez,DAMAGED,Pública,Educación,32.24
Alfonsina,Guzman,Cayambe,0,Pública,Transporte,43.15
$$$,Cifuentes, Montalvo,0,Pública,Ocio y personales,12.41
Ruby,Puga, Urcuquí,0,Privada,Otros,60.4
Francesca Carrizo,Figueroa, Archidona,0,Pública,Educación,45.85
Jacobo Santillán,Colunga, La Troncal,1,Privada,Otros,33.34
∞∞∞,,,,,,
Dr(a). Martina,BROKEN,Yaguachi,0,@@@,Educación,$$$
Jazmín Candela Rodriguez,Luna,∞∞∞,0,∞∞∞,Vivienda,∞∞∞
Itzel Manuel,[BAD],Salitre,0,Pública,Educación,XXX
Isabela Arriaga,Toledo, Jama,0,Pública,Otros,20.56
∞∞∞,Molina, Naranjito,0,Pública,Ocio y personales,28.14
Lorenza Alemany,Doménech,Zaruma,1,Privada,Otros,77.34
BROKEN,Villegas, Paján,0,Pública,Educación,24.11
Celso,Puerta, Chone,0,Pública,Alimentación,93.06
Patricia Rocamora,Ferrera,[BAD],0,DAMAGED,Vivienda,99.73
Sr(a). Mora,Sanchez, Vinces,0,Pública,Otros,30.63
Francisco Bautista Sanchez,Garcia,<UNK>,0,Pública,Transporte,131.92
Sr(a). Lautaro,Gonzalez,INVALID,0,@@@,Educación,17.17
,,DAMAGED,,,,
Sr(a). Lucía,Polanco, Paute,0,<NULL>,Educación,44.95
Sr(a). Emilia,Fernandez, Huaquillas,0,Pública,Transporte,18.15
María Páez,Posada,Catarama,1,Privada,Educación,26.33
Paula Isabel,Cárdenas,Pujilí,0,Pública,Transporte,69.02
Augusto,Rodriguez, Colimes,0,Pública,Alimentación,∞∞∞
Emilia Lopez,Fernandez, Cumandá,1,Privada,Alimentación,239.39
,Castro, Píllaro,0,Pública,Vivienda,70.26
Jerónimo Vera,Pons,Puyo,0,Pública,Alimentación,45.23
Dolores del,Coronado,Sangolquí,0,Pública,$$$,47.05
Mtro. Marisol,Ulibarri,Salinas,0,Pública,Otros,17.66
