nombre,apellido,becado,tipo_ingreso,tipo_universidad,ingreso_cantidad
Felicitas Velazquez,Gomez,0,Otro,Pública,207.63
Juan Santino Lopez,Rojas,1,Crédito educativo,Privada,349.31
Juan Santino Lopez,Rojas,1,Beca,Privada,312.37
Dulce,Leiva,0,Trabajo,Pública,302.12
Dulce,Leiva,0,Crédito educativo,Pública,286.82
Francisca Bautista,Cordoba,0,Trabajo,Pública,267.86
Francisca Bautista,Cordoba,0,Apoyo familiar,Pública,454.99
Máximo Alcolea,Bueno,0,Apoyo familiar,Pública,318.86
Lorenzo Mercedes,Rosales,0,Otro,Pública,478.91
Ana María de,Anda,0,Otro,Pública,442.44
Lucas Ezequiel Perez,Vargas,0,Crédito educativo,Pública,354.92
Lucas Ezequiel Perez,Vargas,0,Apoyo familiar,Pública,376.38
Ciro Gino Toledo,Castro,0,Apoyo familiar,Pública,313.37
Santiago Delfina,Rodriguez,0,Otro,Pública,467.77
Santiago Delfina,Rodriguez,0,Apoyo familiar,Pública,447.22
Amparo Ayllón,Tapia,0,Trabajo,Pública,258.78
Amparo Ayllón,Tapia,0,Apoyo familiar,Pública,330.35
Nancy Blanco,Escamilla,0,Apoyo familiar,Pública,398.76
Anabel Nereida Gutierrez,Quintanilla,0,Otro,Pública,328.13
Delia,Ariño-Bilbao,0,Apoyo familiar,Pública,325.16
Dr(a). Lucas Benjamin,Diaz,0,Apoyo familiar,Pública,374.08
Marcela Patricia Jaimes,Cruz,1,Apoyo familiar,Privada,517.21
Marcela Patricia Jaimes,Cruz,1,Beca,Privada,424.7
Jenaro Cabo,Beltrán,0,Trabajo,Pública,238.27
Mtro. César,Montes,1,Trabajo,Privada,230.22
Mtro. César,Montes,1,Crédito educativo,Privada,282.65
Mtro. César,Montes,1,Apoyo familiar,Privada,536.27
Mtro. César,Montes,1,Beca,Privada,398.33
Gil del,Cruz,0,Trabajo,Pública,344.31
Dr(a). Tomas,Olivera,0,Trabajo,Pública,258.73
Dr(a). Tomas,Olivera,0,Apoyo familiar,Pública,375.24
Emperatriz de,Cañizares,0,Apoyo familiar,Pública,351.73
Hilda Astrid,Sánchez,0,Otro,Pública,285.45
Hilda Astrid,Sánchez,0,Apoyo familiar,Pública,348.96
Clara Diana Acevedo,Ortiz,0,Apoyo familiar,Pública,362.79
Mia Morena Juan Gabriel Gomez,Flores,0,Apoyo familiar,Pública,320.75
María,Fuentes,0,Apoyo familiar,Pública,308.54
Astrid Caicedo,Osorio,0,Apoyo familiar,Privada,503.65
Anselmo Company,Araujo,0,Crédito educativo,Pública,328.67
Anselmo Company,Araujo,0,Apoyo familiar,Pública,334.87
Fernanda Gómez,Morales,1,Apoyo familiar,Privada,439.84
Fernanda Gómez,Morales,1,Beca,Privada,397.07
Clementina Iborra,Calderon,0,Crédito educativo,Pública,368.57
Clementina Iborra,Calderon,0,Apoyo familiar,Pública,410.12
Gildardo Zambrano,Velandia,0,Apoyo familiar,Pública,406.92
Diana Liliana,Alvarado,0,Apoyo familiar,Privada,408.14
Lilia Yolanda Guzmán,Jaramillo,1,Apoyo familiar,Privada,629.06
Lilia Yolanda Guzmán,Jaramillo,1,Beca,Privada,325.53
Juana Arellano,Rodrígez,0,Apoyo familiar,Pública,289.17
María Luisa Jerónimo,Magaña,0,Trabajo,Pública,253.84
María Luisa Jerónimo,Magaña,0,Apoyo familiar,Pública,316.43
Alberto Victoria,Espinoza,0,Apoyo familiar,Pública,437.03
Victoria Bautista Ramos,Sosa,0,Apoyo familiar,Pública,470.24
Dr(a). Luisana,Gomez,1,Apoyo familiar,Privada,578.58
Dr(a). Luisana,Gomez,1,Beca,Privada,400.17
Nancy Castrillón,Gómez,0,Apoyo familiar,Pública,324.99
Sebastian Josefina Juarez,Gutierrez,1,Apoyo familiar,Privada,393.66
Sebastian Josefina Juarez,Gutierrez,1,Beca,Privada,503.38
Sr(a). Valentina,Vega,0,Apoyo familiar,Pública,394.89
Ángela,Figueras,0,Otro,Pública,241.26
Andrés Vergara,Valencia,0,Trabajo,Pública,210.84
Andrés Vergara,Valencia,0,Apoyo familiar,Pública,327.92
Consuelo Milena,Álvarez,1,Crédito educativo,Privada,348.81
Consuelo Milena,Álvarez,1,Otro,Privada,445.17
Consuelo Milena,Álvarez,1,Beca,Privada,510.94
Lola Juana Fernandez,Flores,0,Crédito educativo,Pública,452.35
Mora Julieta,Molina,0,Trabajo,Pública,262.99
Mora Julieta,Molina,0,Otro,Pública,301.71
Mora Julieta,Molina,0,Apoyo familiar,Pública,447.91
Eric Cruz Ropero,Montserrat,0,Apoyo familiar,Pública,306.87
Simon,Diaz,0,Apoyo familiar,Pública,394.83
Milagros Emilia,Dominguez,0,Apoyo familiar,Privada,1131.51
Amanda Janeth,Sandoval,0,Crédito educativo,Pública,313.58
Amanda Janeth,Sandoval,0,Otro,Pública,202.76
Concepción Alberto,Arredondo,1,Apoyo familiar,Privada,519.72
Concepción Alberto,Arredondo,1,Beca,Privada,317.7
Santiago,Beltrán,0,Trabajo,Pública,258.74
Angelina,Silva,0,Apoyo familiar,Pública,265.24
Camila,Fernandez,0,Apoyo familiar,Pública,424.58
Roque Rodríguez,Gilabert,0,Apoyo familiar,Pública,451.9
Lic. Amador,Valdés,0,Otro,Pública,271.17
Lic. Amador,Valdés,0,Apoyo familiar,Pública,285.36
María Eugenia Cepeda,Rivera,0,Trabajo,Pública,307.93
María Eugenia Cepeda,Rivera,0,Crédito educativo,Pública,250.76
Mario Humberto Mora,Serrano,0,Crédito educativo,Pública,357.8
Mario Humberto Mora,Serrano,0,Apoyo familiar,Pública,385.66
Maria Emilia Agustin,Perez,1,Trabajo,Privada,291.1
Maria Emilia Agustin,Perez,1,Beca,Privada,527.16
Nicolás Mercedes Griego,Laureano,0,Crédito educativo,Privada,217.81
Luz Milagros Martinez,Romero,1,Apoyo familiar,Privada,436.76
Luz Milagros Martinez,Romero,1,Beca,Privada,531.49
Carlos Guardia,Piñol,0,Trabajo,Pública,238.02
Carlos Guardia,Piñol,0,Crédito educativo,Pública,300.78
Carlos Guardia,Piñol,0,Apoyo familiar,Pública,454.09
Andrea Linda,Pantoja,0,Apoyo familiar,Pública,358.36
Camilo Alberto Guerrero,Espitia,0,Apoyo familiar,Pública,548.09
Fortunata,Tapia-Aguado,0,Apoyo familiar,Pública,394.79
Henry,Márquez,0,Apoyo familiar,Pública,290.82
Sr(a). Pilar,Perez,0,Trabajo,Pública,196.46
Sr(a). Pilar,Perez,0,Crédito educativo,Pública,328.95
Francesca Carrizo,Figueroa,0,Trabajo,Pública,238.83
Francesca Carrizo,Figueroa,0,Apoyo familiar,Pública,400.93
Carolina,Tejeda,0,Otro,Pública,489.09
Martina Amores,Blanes,0,Apoyo familiar,Privada,483.71
Mateo Ezequiel Joaquin,Perez,0,Apoyo familiar,Pública,319.66
Lorena Claudia Cuéllar,Castro,0,Apoyo familiar,Privada,567.28
Miguel Angel Valentin Cardozo,Rodriguez,0,Apoyo familiar,Pública,423.92
Camila Sara Arango,Gallego,0,Apoyo familiar,Pública,326.76
Alejandra Silvia,Corral,0,Apoyo familiar,Pública,288.17
Mario Yolanda,Carrero,0,Trabajo,Pública,224.35
Francisco,Negrete,0,Apoyo familiar,Pública,402.78
Ing. Camila,Dávila,0,Trabajo,Pública,254.62
Ing. Camila,Dávila,0,Otro,Pública,229.15
Ing. Camila,Dávila,0,Apoyo familiar,Pública,474.86
Nancy Margoth,Escobar,0,Apoyo familiar,Pública,355.92
Nahiara Jazmin,Diaz,0,Apoyo familiar,Pública,279.72
Hermelinda Zapata,Casárez,0,Apoyo familiar,Pública,376.25
Luisina Romero,Pellicer,0,Otro,Pública,409.1
Luisina Romero,Pellicer,0,Apoyo familiar,Pública,288.46
Miriam,Nogueira,0,Trabajo,Pública,319.1
Sandra Trillo,Camacho,1,Crédito educativo,Privada,354.31
Sandra Trillo,Camacho,1,Otro,Privada,443.03
Sandra Trillo,Camacho,1,Beca,Privada,522.58
Juan Manuel Milena Vega,Benitez,0,Crédito educativo,Privada,531.16
Juan Manuel Milena Vega,Benitez,0,Otro,Privada,438.74
Miguel Yeison Vega,Ruiz,0,Trabajo,Pública,299.41
Miguel Yeison Vega,Ruiz,0,Apoyo familiar,Pública,332.1
Germán Raya,Guerrero,0,Trabajo,Pública,287.95
Germán Raya,Guerrero,0,Apoyo familiar,Pública,296.33
Dr(a). Alma,Aguirre,0,Apoyo familiar,Pública,334.4
Olga Mosquera,Muñoz,1,Otro,Privada,339.68
Olga Mosquera,Muñoz,1,Beca,Privada,447.76
Jaime,Delgado,0,Apoyo familiar,Pública,412.41
Fabiola Palomo,Sáenz,0,Trabajo,Pública,169.36
Fabiola Palomo,Sáenz,0,Otro,Pública,238.12
Fabiola Palomo,Sáenz,0,Apoyo familiar,Pública,452.12
Verónica,Salas,0,Crédito educativo,Pública,393.62
Verónica,Salas,0,Otro,Pública,264.75
Catalina Diaz,Ledesma,1,Apoyo familiar,Privada,419.16
Catalina Diaz,Ledesma,1,Beca,Privada,393.03
Felipe Sebastián,Salazar,0,Apoyo familiar,Pública,579.33
Hernando Fernando,Vargas,0,Crédito educativo,Pública,410.6
Hernando Fernando,Vargas,0,Apoyo familiar,Pública,447.14
Fausto,Carreras,0,Apoyo familiar,Pública,409.15
Esmeralda Maximiliano,Lebrón,0,Trabajo,Pública,250.76
Marta Milena,Mosquera,0,Apoyo familiar,Pública,382.64
Sonia,Hernández,0,Apoyo familiar,Pública,424.33
Leonel Manzano,Cases,0,Trabajo,Pública,218.57
Luna Silva,Herrera,0,Apoyo familiar,Pública,322.26
Santiago Isabella Acuña,Suarez,0,Trabajo,Pública,166.54
Leandra Benavent,Baeza,0,Trabajo,Pública,211.41
Ramón Hernán,Briones,0,Apoyo familiar,Pública,468.8
Porfirio Peña,Zelaya,0,Apoyo familiar,Pública,333.35
Lic. María del Carmen,Quintero,1,Apoyo familiar,Privada,486.64
Lic. María del Carmen,Quintero,1,Beca,Privada,492.32
Jesús Beltrán,León,0,Apoyo familiar,Pública,238.25
Matías,Galván,0,Crédito educativo,Pública,224.35
Matías,Galván,0,Otro,Pública,486.46
Matías,Galván,0,Apoyo familiar,Pública,381.4
Ana Andrea,García,1,Apoyo familiar,Privada,664.52
Ana Andrea,García,1,Beca,Privada,295.47
Javiera Soriano,Manuel,0,Apoyo familiar,Pública,505.33
Ernesto del,Santiago,0,Apoyo familiar,Pública,439.62
Óscar del,Figuerola,0,Otro,Pública,204.32
Manuel Moreno,Bustos,0,Apoyo familiar,Privada,467.75
Ana María de Jesús,Maldonado,0,Apoyo familiar,Pública,528.05
Luis Santiago Bermúdez,Valderrama,0,Apoyo familiar,Pública,647.47
Bautista,Gonzalez,0,Trabajo,Pública,203.37
Bautista,Gonzalez,0,Apoyo familiar,Pública,259.8
Juan Martin Benjamin Martinez,Peralta,0,Apoyo familiar,Pública,343.72
Luis,Arjona-Díez,0,Trabajo,Pública,150.25
Dr(a). Santino Gabriel,Lopez,0,Apoyo familiar,Pública,260.35
León,Herrera,0,Apoyo familiar,Pública,469.25
Juan Cruz Santino Lopez,Ramirez,0,Trabajo,Pública,316.16
Juan Cruz Santino Lopez,Ramirez,0,Crédito educativo,Pública,292.3
Antonella Camila Coronel,Gonzalez,0,Otro,Pública,387.76
Antonella Camila Coronel,Gonzalez,0,Apoyo familiar,Pública,441.49
Dolores Morales,Carmona,0,Apoyo familiar,Pública,354.72
Sr(a). Milagros,Molina,0,Apoyo familiar,Pública,281.77
Santiago Sosa,Navarro,1,Apoyo familiar,Privada,566.86
Santiago Sosa,Navarro,1,Beca,Privada,388.31
Sofia Molina,Blanco,0,Apoyo familiar,Pública,309.82
Juan Ignacio,Valdez,0,Trabajo,Pública,282.36
Juan Ignacio,Valdez,0,Apoyo familiar,Pública,359.49
Hugo Pedro,Alcaraz,0,Apoyo familiar,Privada,308.27
Francisco Mansilla,Gomez,1,Apoyo familiar,Privada,616.41
Francisco Mansilla,Gomez,1,Beca,Privada,386.68
Josep Manzanares,Verdú,0,Crédito educativo,Pública,426.68
Josep Manzanares,Verdú,0,Trabajo,Pública,242.41
Josep Manzanares,Verdú,0,Apoyo familiar,Pública,391.74
Gerardo Puentes,Vargas,0,Apoyo familiar,Pública,371.6
Elias,Zamudio,1,Apoyo familiar,Privada,434.85
Elias,Zamudio,1,Beca,Privada,459.86
Gerónimo Pedroza,Molina,0,Trabajo,Pública,225.35
Gerónimo Pedroza,Molina,0,Otro,Pública,409.02
Gerónimo Pedroza,Molina,0,Apoyo familiar,Pública,325.59
Isabel,Jiménez,0,Otro,Pública,420.52
Isabel,Jiménez,0,Apoyo familiar,Pública,372.04
Tomàs Pilar,Romero,0,Apoyo familiar,Pública,307.79
Paula,Aguero,0,Otro,Privada,253.23
Lic. Eugenia,Partida,0,Crédito educativo,Pública,344.84
Petrona Suárez,Piquer,0,Trabajo,Pública,280.52
Guillermina Martina,Gimenez,0,Trabajo,Pública,248.95
Guillermina Martina,Gimenez,0,Apoyo familiar,Pública,359.43
Xiomara Marina,Silva,0,Apoyo familiar,Privada,617.15
Joaquín Ramirez,Ferreyra,0,Crédito educativo,Pública,264.51
Mariano Jaimes,Mireles,1,Apoyo familiar,Privada,545.36
Mariano Jaimes,Mireles,1,Beca,Privada,462.12
Mia Jazmin Roldan,Mendez,0,Trabajo,Pública,327.64
Mia Jazmin Roldan,Mendez,0,Apoyo familiar,Pública,337.04
Lucía Angelina Suarez,Rojas,0,Otro,Pública,470.77
Lucía Angelina Suarez,Rojas,0,Apoyo familiar,Pública,369.67
Maximiano del,Gordillo,0,Trabajo,Pública,315.27
Maximiano del,Gordillo,0,Otro,Pública,296.01
Ariel Cabrera,Salcedo,0,Apoyo familiar,Pública,334.03
Alicia Amalia Meléndez,Badillo,0,Crédito educativo,Pública,351.24
Eduardo Carlos,Contreras,0,Otro,Pública,485.02
Eduardo Carlos,Contreras,0,Apoyo familiar,Pública,308.67
Delia Arcelia,Olivas,0,Apoyo familiar,Pública,357.84
Rodolfo,Collazo,0,Apoyo familiar,Pública,399.95
Teodoro,Hernández,1,Trabajo,Privada,209.09
Teodoro,Hernández,1,Crédito educativo,Privada,425.54
Teodoro,Hernández,1,Apoyo familiar,Privada,392.85
Teodoro,Hernández,1,Beca,Privada,346.35
Vicente Tiziano Valentin Medina,Garcia,0,Trabajo,Pública,288.53
Vicente Tiziano Valentin Medina,Garcia,0,Apoyo familiar,Pública,406.42
Margarita Montaño,Villagómez,0,Crédito educativo,Pública,258.05
Margarita Montaño,Villagómez,0,Apoyo familiar,Pública,350.14
Santiago Cruz,Suárez,0,Crédito educativo,Pública,174.6
Santino,Alvarez,0,Apoyo familiar,Pública,475.93
Darío,Jiménez,0,Trabajo,Pública,234.55
Benjamin Santino Ezequiel Vargas,Valdez,0,Apoyo familiar,Pública,406.85
Octavio Francisco Figueroa,Diaz,0,Trabajo,Pública,280.69
Mtro. Victoria,Chapa,0,Trabajo,Pública,317.89
Mtro. Victoria,Chapa,0,Crédito educativo,Pública,274.0
Mtro. Victoria,Chapa,0,Apoyo familiar,Pública,384.58
Fabián Saez,Aragonés,0,Apoyo familiar,Pública,389.72
María Jiménez,Cano,0,Crédito educativo,Pública,352.35
María Jiménez,Cano,0,Apoyo familiar,Pública,431.43
César Paola,Navarrete,1,Trabajo,Privada,226.13
César Paola,Navarrete,1,Beca,Privada,330.26
Carmen Luna,Ramos,0,Apoyo familiar,Privada,624.53
Roberto Felipe,García,0,Apoyo familiar,Pública,373.69
Porfirio,Navarrete,0,Apoyo familiar,Pública,455.72
Adoración Lamas,Casals,1,Crédito educativo,Privada,351.46
Adoración Lamas,Casals,1,Beca,Privada,372.16
Felicitas Felicitas Nuñez,Paz,0,Trabajo,Privada,234.88
Felicitas Felicitas Nuñez,Paz,0,Crédito educativo,Privada,299.73
Gladys Leidy,Beltrán,0,Crédito educativo,Pública,259.06
Gladys Leidy,Beltrán,0,Apoyo familiar,Pública,347.25
Paula Yolanda Restrepo,Bermúdez,1,Trabajo,Privada,313.56
Paula Yolanda Restrepo,Bermúdez,1,Beca,Privada,514.57
Valentino Leiva,Sanchez,0,Apoyo familiar,Privada,480.03
Catalina Paez,Fernandez,0,Apoyo familiar,Pública,379.28
Felicitas Maria Emilia Leiva,Flores,0,Apoyo familiar,Pública,403.23
Vanesa,Camacho,0,Apoyo familiar,Pública,328.73
Dr(a). Luisana,Garcia,0,Apoyo familiar,Privada,553.49
Inés Linda Ordóñez,López,0,Otro,Pública,222.14
Andrés Fernando,Bolaños,0,Otro,Pública,356.93
Antonella Moreno,Luna,0,Apoyo familiar,Pública,355.66
Rubén Múgica,Hervia,0,Apoyo familiar,Pública,453.03
Dr. Ángela,Urrutia,0,Trabajo,Pública,297.96
Dr. Ángela,Urrutia,0,Otro,Pública,375.29
Dr. Eugenia,Méndez,0,Apoyo familiar,Pública,300.86
Sr(a). Gerónimo,Colunga,0,Crédito educativo,Pública,293.34
Sr(a). Gerónimo,Colunga,0,Apoyo familiar,Pública,426.61
Mtro. Delia,Carmona,0,Otro,Pública,256.44
Mtro. Delia,Carmona,0,Apoyo familiar,Pública,406.18
Adrián Palma,Gárate,1,Apoyo familiar,Privada,282.94
Adrián Palma,Gárate,1,Beca,Privada,398.99
Andrea,Martínez,0,Apoyo familiar,Pública,216.79
Sr(a). Thiago Valentin,Herrera,0,Apoyo familiar,Pública,382.68
Lorena Martha,Garzón,0,Apoyo familiar,Privada,609.47
Armando José Molano,Sanabria,0,Apoyo familiar,Pública,453.13
Morena Bustos,Rodriguez,0,Otro,Pública,325.47
María Fernanda Colomer,Bastida,0,Apoyo familiar,Pública,454.22
Sofía Tania Vigil,Ulibarri,0,Apoyo familiar,Pública,434.39
Dany Contreras,Cárdenas,0,Apoyo familiar,Pública,318.54
Geronimo Gomez,Ferreyra,0,Apoyo familiar,Pública,231.05
María Cristina,Gil,0,Crédito educativo,Pública,381.23
Ezequiel Camila Ojeda,Sanchez,0,Trabajo,Pública,244.27
Eduardo,Sánchez,0,Otro,Pública,324.45
Eduardo,Sánchez,0,Apoyo familiar,Pública,345.4
Catalina Rodriguez,Benitez,0,Crédito educativo,Pública,296.67
Catalina Rodriguez,Benitez,0,Apoyo familiar,Pública,369.0
Yaneth Orozco,Londoño,0,Apoyo familiar,Pública,371.97
Adriana Xiomara,Ibarra,1,Apoyo familiar,Privada,640.94
Adriana Xiomara,Ibarra,1,Beca,Privada,523.62
León Juarez,Sosa,0,Trabajo,Pública,227.5
León Juarez,Sosa,0,Otro,Pública,335.16
León Juarez,Sosa,0,Apoyo familiar,Pública,259.32
Víctor Mauricio,Garrido,0,Apoyo familiar,Privada,543.81
Sonia Pedrero,Cardona,0,Apoyo familiar,Privada,1103.0
Lilia Rubiela Bastidas,Figueroa,0,Trabajo,Pública,327.07
Áurea Máxima Lastra,Andres,0,Trabajo,Pública,208.61
Áurea Máxima Lastra,Andres,0,Otro,Pública,401.47
Horacio Ivonne Montoya,Aguayo,0,Otro,Pública,356.05
Raúl Víctor,Pacheco,1,Trabajo,Privada,255.78
Raúl Víctor,Pacheco,1,Apoyo familiar,Privada,515.56
Raúl Víctor,Pacheco,1,Beca,Privada,545.08
Raimundo Anglada,Bravo,0,Trabajo,Pública,237.55
Raimundo Anglada,Bravo,0,Apoyo familiar,Pública,451.92
Lourdes,Rendón,0,Apoyo familiar,Pública,395.88
Rosa Camargo,Castaño,0,Apoyo familiar,Pública,447.65
Casemiro Criado,Ayala,0,Trabajo,Pública,201.75
Ismael,Rodrigo-Torralba,0,Apoyo familiar,Pública,399.62
Victoria,Navarro,0,Crédito educativo,Pública,363.51
Irene Cantero,Luque,0,Crédito educativo,Pública,194.48
Irene Cantero,Luque,0,Apoyo familiar,Pública,267.93
Dr(a). Martina,Ruiz,0,Crédito educativo,Pública,177.65
Dr(a). Martina,Ruiz,0,Otro,Pública,354.2
Cristian Mata,Galván,0,Trabajo,Pública,285.88
Cristian Mata,Galván,0,Apoyo familiar,Pública,321.16
Gregorio Itzel Casares,Aguilar,0,Trabajo,Privada,316.72
Joaquin,Alvarez,0,Apoyo familiar,Pública,419.41
Ing. Yolanda,Moreno,0,Otro,Pública,484.86
Ing. Yolanda,Moreno,0,Apoyo familiar,Pública,231.31
Tere Arnal,Rubio,0,Trabajo,Pública,247.22
Tere Arnal,Rubio,0,Crédito educativo,Pública,323.04
Águeda Bermejo,Millán,0,Apoyo familiar,Pública,348.32
Dr(a). Paloma,Ramirez,0,Apoyo familiar,Privada,289.99
Ainara Morcillo,Duarte,0,Apoyo familiar,Pública,345.97
Catalina Juan Gabriel Martinez,Nuñez,0,Apoyo familiar,Pública,259.56
Tomasa Menéndez,Nicolás,0,Apoyo familiar,Privada,563.23
Darío Araceli Segovia,Carrera,0,Trabajo,Pública,268.33
Jerónimo Verónica Cordero,Gracia,0,Otro,Pública,254.56
Jerónimo Verónica Cordero,Gracia,0,Apoyo familiar,Pública,412.18
Eduardo Figueroa,Durán,0,Apoyo familiar,Pública,331.03
Diana Salcido,Rivera,0,Trabajo,Pública,352.75
Dr(a). Santino Ezequiel,Morales,0,Trabajo,Pública,234.03
Dr(a). Santino Ezequiel,Morales,0,Otro,Pública,212.26
Ángel,Rodarte,0,Trabajo,Pública,226.22
Violeta Salvador Sosa,Rodriguez,0,Apoyo familiar,Pública,313.88
Martina,Torres,0,Trabajo,Pública,210.36
Martina,Torres,0,Crédito educativo,Pública,293.58
Paula Francia,López,0,Apoyo familiar,Pública,280.44
Clara,Moyano,0,Trabajo,Pública,222.32
Clara,Moyano,0,Apoyo familiar,Pública,282.27
Yéssica Fabra,Montoya,0,Crédito educativo,Pública,417.88
Sr(a). Gino,Acosta,0,Trabajo,Pública,251.76
Sr(a). Gino,Acosta,0,Apoyo familiar,Pública,307.08
Johana Andrea,Vargas,0,Apoyo familiar,Pública,387.15
Bruno,Cabrera,0,Apoyo familiar,Pública,342.94
Andrey Jhon,Guevara,0,Apoyo familiar,Pública,344.95
Ana Sofía Murcia,Busquets,0,Trabajo,Pública,280.71
Ana Sofía Murcia,Busquets,0,Crédito educativo,Pública,345.45
Valentina Mia Jazmin Soto,Juarez,0,Trabajo,Pública,223.47
Valentina Mia Jazmin Soto,Juarez,0,Apoyo familiar,Pública,316.09
Ariadna Rodolfo Cisneros,Montez,0,Crédito educativo,Pública,283.5
Ariadna Rodolfo Cisneros,Montez,0,Otro,Pública,385.48
Carlos Blanco,García,0,Apoyo familiar,Pública,306.72
Zoe Valentina Valentina Rivero,Ponce,0,Trabajo,Privada,140.39
Liliana Paredes,Alfaro,1,Apoyo familiar,Privada,575.44
Liliana Paredes,Alfaro,1,Beca,Privada,390.28
Juan,Rojas,0,Trabajo,Pública,403.94
Juan,Rojas,0,Otro,Pública,232.15
Francisco Valentino,Rodriguez,1,Apoyo familiar,Privada,640.43
Francisco Valentino,Rodriguez,1,Beca,Privada,204.23
Regina,Zurita,0,Apoyo familiar,Pública,298.19
Valentina Castro,Peñas,0,Apoyo familiar,Pública,251.03
Dolores Sofía de,Jesús,0,Trabajo,Pública,217.67
Renata Peralta,Martinez,0,Crédito educativo,Pública,235.11
Dr(a). Gonzalo,Vargas,1,Trabajo,Privada,334.36
Dr(a). Gonzalo,Vargas,1,Apoyo familiar,Privada,587.29
Dr(a). Gonzalo,Vargas,1,Beca,Privada,380.69
Dr. Horacio,Rodarte,1,Apoyo familiar,Privada,645.55
Dr. Horacio,Rodarte,1,Beca,Privada,688.63
Reina Marcos Riojas,Lerma,0,Apoyo familiar,Pública,422.37
Dr(a). Nahiara,Maldonado,0,Apoyo familiar,Pública,281.79
Amelia Tomás Rosales,Nieto,0,Crédito educativo,Privada,288.58
Amelia Tomás Rosales,Nieto,0,Apoyo familiar,Privada,406.79
Susanita,Casanovas,0,Trabajo,Pública,180.86
Susanita,Casanovas,0,Crédito educativo,Pública,355.57
Susanita,Casanovas,0,Apoyo familiar,Pública,484.46
