nombre,apellido,ciudad,provincia,longitud,latitud,distancia,tipo_universidad,universidad,semestre,anio,periodo,carrera,genero,edad,modalidad,zona,tipo_vivienda,sector,codigo_postal
Clara Fernando Valentín,Tijerina, Santa Isabel, Azuay,-79.3594118,-3.1839392,342.74,Pública,Escuela Politécnica del Ejército (ESPE),2,2024,2024-B,Ciberseguridad,Femenino,17,Presencial,Quito,Familiar,Cotocollao,170103
Efrain Castillo,Torres,Quinsaloma, Los Ríos,-79.3468998,-1.1460552,138.6,Pública,Escuela Politécnica Nacional (EPN),8,2025,2025-B,Psicopedagogía,Femenino,26,Presencial,Quito,Arrendada,Llano Chico,170165
Lic. Aurora,Arreola, Balsas, El Oro,-79.831096,-3.7742179,421.48,Privada,Pontificia Universidad Católica del Ecuador (PUCE),12,2024,2024-A,Matemáticas,Femenino,26,En línea,Quito,Arrendada,Chaupicruz (La Concepcion),170104
Mauricio Cuesta,Roca,Machachi, Pichincha,-78.6516915,-0.4984774,34.61,Pública,Universidad Andina Simón Bolívar (UASB),6,2024,2024-B,Contabilidad,Masculino,18,Presencial,Quito,Arrendada,Cotocollao,170103
Francisca Solé,Ángel, Marcabelí, El Oro,-79.9223384,-3.7733434,425.02,Pública,Escuela Politécnica Nacional (EPN),2,2023,2023-A,Educación Inicial,Femenino,20,Presencial,Quito,Familiar,Eloy Alfaro,170125
Ruth,González, Atacames, Esmeraldas,-79.8790841,0.7971086,189.45,Pública,Escuela Politécnica del Ejército (ESPE),12,2023,2023-A,Diseño Industrial,Masculino,17,Presencial,Quito,Arrendada,Jipijapa,170137
Luis Óscar,Cárdenas,Saquisilí, Cotopaxi,-78.7312624,-0.8359835,72.67,Pública,Universidad Central del Ecuador (UCE),5,2025,2025-A,Ciberseguridad,Femenino,20,En línea,Quito,Residencia universitaria,Puembo,170179
Johana López,Pineda, Daule, Guayas,-79.9129307,-1.9200069,244.89,Privada,Pontificia Universidad Católica del Ecuador (PUCE),1,2024,2024-A,Publicidad,Femenino,25,Presencial,Quito,Arrendada,Chimbacalle,170121
José Luis Cynthia,Tirado, Muisne, Esmeraldas,-79.8817211,0.5387247,174.09,Pública,Universidad Central del Ecuador (UCE),12,2023,2023-B,Educación Física,Masculino,23,Presencial,Quito,Arrendada,La Ferroviaria,170141
Etelvina Laura Aliaga,Caparrós, La Maná, Cotopaxi,-79.1010573,-0.7841908,90.66,Pública,Escuela Politécnica Nacional (EPN),10,2025,2025-B,Negocios Internacionales,Femenino,23,Presencial,Quito,Familiar,La Vicentina,170112
David,Moreno, Jipijapa, Manabí,-80.6124982,-1.5158193,274.37,Privada,Universidad de las Américas (UDLA),6,2023,2023-B,Ingeniería Química,Femenino,20,Presencial,Quito,Arrendada,Belisario Quevedo,170129
Pío Torre,Bayón, Guayaquil, Guayas,-80.0983887,-2.2895167,289.88,Privada,Pontificia Universidad Católica del Ecuador (PUCE),12,2023,2023-B,Arquitectura,Femenino,24,Presencial,Quito,Arrendada,Las Cuadras,170128
Victoria Martín,Ulloa, Cañar, Cañar,-79.1800778,-2.4749335,261.48,Privada,Universidad Internacional del Ecuador (UIDE),9,2024,2024-A,Tecnologías de la Información,Masculino,22,Presencial,Quito,Arrendada,Chilibulo,170131
Óliver Samuel Piña,Galarza, Lomas de Sargentillo, Guayas,-80.0789495,-1.8348374,250.14,Privada,Universidad Internacional del Ecuador (UIDE),1,2024,2024-A,Hotelería,Masculino,22,Presencial,Quito,Arrendada,Benalcazar,170102
Leonor Yuridia Niño,Quezada,San Vicente, Manabí,-80.3761409,-0.4373946,208.65,Pública,Escuela Politécnica Nacional (EPN),11,2023,2023-A,Trabajo Social,Femenino,20,Presencial,Quito,Familiar,Tababela,170183
Valentina Rodriguez,Gonzalez, Huaca, Carchi,-77.727333,0.7987391,143.02,Pública,Universidad Central del Ecuador (UCE),11,2023,2023-A,Marketing,Femenino,21,Presencial,Quito,Arrendada,Tumbaco,170184
Dr. Abraham,Batista, San Miguel de Los Bancos, Pichincha,-78.9214659,-0.0188368,50.7,Pública,Universidad Central del Ecuador (UCE),10,2024,2024-B,Ingeniería Ambiental,Femenino,21,Híbrida,Quito,Residencia universitaria,Puerto Quito,170182
Anastasio de,Murillo, San Miguel de Los Bancos, Pichincha,-78.9214659,-0.0188368,50.7,Pública,Escuela Politécnica Nacional (EPN),12,2025,2025-A,Ingeniería Biomédica,Femenino,19,Presencial,Quito,Familiar,Cumbaya,170157
Cándida,Lopez,Salitre, Guayas,-79.8187323,-1.8289209,230.42,Privada,Universidad Tecnológica Indoamérica (UTI),12,2024,2024-B,Ingeniería Petroquímica,Masculino,19,Presencial,Quito,Arrendada,Calacali,170154
Juan Pablo Lisandro,Cruz,Ibarra, Imbabura,-78.1329448,0.5159369,92.08,Pública,Escuela Politécnica Nacional (EPN),3,2023,2023-A,Ingeniería Petroquímica,Masculino,18,Presencial,Quito,Arrendada,Nono,170171
Martín Micaela,Lopez, Tulcán, Carchi,-77.7172151,0.8115707,144.84,Pública,Escuela Politécnica del Ejército (ESPE),12,2025,2025-A,Ciencia de Datos,Masculino,18,Presencial,Quito,Arrendada,Iñaquito,170135
Felicidad Roda,Reig, Marcabelí, El Oro,-79.9223384,-3.7733434,425.02,Privada,Universidad Politécnica Salesiana (UPS),7,2023,2023-A,Comercio Exterior,Femenino,20,Presencial,Quito,Arrendada,Carcelen,170120
Felicitas Velazquez,Gomez, Bahía de Caráquez, Manabí,-80.423572,-0.5999649,216.67,Pública,Escuela Politécnica Nacional (EPN),4,2025,2025-A,Comunicación Social,Masculino,20,Presencial,Quito,Familiar,La Ecuatoriana,170140
Juan Santino Lopez,Rojas, Jujan, Guayas,-79.5495283,-1.9494337,224.21,Privada,Universidad de las Américas (UDLA),9,2023,2023-B,Ingeniería Petroquímica,Masculino,19,Presencial,Quito,Arrendada,Belisario Quevedo,170129
Dulce,Leiva, Píllaro, Tungurahua,-78.5423177,-1.1725302,105.95,Pública,Escuela Politécnica Nacional (EPN),3,2025,2025-B,Ciberseguridad,Masculino,19,Presencial,Quito,Residencia universitaria,San Roque,170115
Francisca Bautista,Cordoba, Cotacachi, Imbabura,-78.4507013,0.3955234,68.8,Pública,Escuela Politécnica Nacional (EPN),5,2025,2025-B,Trabajo Social,Masculino,21,Presencial,Quito,Arrendada,Conocoto,170156
Máximo Alcolea,Bueno, Velasco Ibarra, Guayas,-79.8779821,-2.2843364,275.19,Pública,Escuela Politécnica Nacional (EPN),3,2023,2023-B,Trabajo Social,Masculino,24,Presencial,Quito,Arrendada,Nanegal,170168
Lorenzo Mercedes,Rosales, Muisne, Esmeraldas,-79.8817211,0.5387247,174.09,Pública,Universidad Central del Ecuador (UCE),7,2025,2025-A,Periodismo,Masculino,20,Presencial,Quito,Arrendada,El Batan,170122
Ana María de,Anda,Pasaje, El Oro,-79.7625976,-3.3234936,372.0,Pública,Universidad Central del Ecuador (UCE),5,2024,2024-A,Biología,Femenino,20,Presencial,Quito,Arrendada,La Floresta,170109
Lucas Ezequiel Perez,Vargas,Atuntaqui, Imbabura,-78.219615,0.3316022,69.45,Pública,Universidad Central del Ecuador (UCE),9,2023,2023-B,Artes Visuales,Masculino,18,Presencial,Quito,Propia,La Floresta,170109
Ciro Gino Toledo,Castro, Urcuquí, Imbabura,-78.1941499,0.4172921,79.22,Pública,Universidad Central del Ecuador (UCE),7,2024,2024-B,Odontología,Femenino,20,Presencial,Quito,Familiar,Chillogallo,170105
Santiago Delfina,Rodriguez, Flavio Alfaro, Manabí,-79.844538,-0.3242859,148.59,Pública,Universidad Central del Ecuador (UCE),2,2023,2023-A,Ingeniería Agronómica,Masculino,23,Presencial,Quito,Arrendada,Villaflora,170119
Amparo Ayllón,Tapia, Atacames, Esmeraldas,-79.8790841,0.7971086,189.45,Pública,Escuela Politécnica del Ejército (ESPE),4,2025,2025-A,Matemáticas,Masculino,23,Presencial,Quito,Propia,Puellaro,170178
Nancy Blanco,Escamilla, Balao, Guayas,-79.7180498,-2.8852516,325.24,Pública,Universidad Central del Ecuador (UCE),9,2025,2025-B,Diseño Gráfico,Masculino,23,Presencial,Quito,Propia,Santa Prisca,170118
Anabel Nereida Gutierrez,Quintanilla, Bahía de Caráquez, Manabí,-80.423572,-0.5999649,216.67,Pública,Universidad Central del Ecuador (UCE),12,2025,2025-B,Comercio Exterior,Femenino,23,Presencial,Quito,Familiar,San Marcos,170114
Delia,Ariño-Bilbao,Simón Bolívar, Guayas,-79.4218634,-2.0424101,226.45,Pública,Universidad Central del Ecuador (UCE),2,2023,2023-B,Publicidad,Femenino,22,Presencial,Quito,Propia,La Vicentina,170112
Dr(a). Lucas Benjamin,Diaz, Catamayo, Loja,-79.403789,-3.9912144,430.86,Pública,Escuela Politécnica Nacional (EPN),10,2024,2024-A,Matemáticas,Femenino,22,Presencial,Quito,Familiar,San Sebastian,170116
Marcela Patricia Jaimes,Cruz, Píllaro, Tungurahua,-78.5423177,-1.1725302,105.95,Privada,Pontificia Universidad Católica del Ecuador (PUCE),9,2024,2024-B,Ingeniería Electrónica,Masculino,21,Presencial,Quito,Arrendada,Benalcazar,170102
Jenaro Cabo,Beltrán, Guano, Chimborazo,-78.6578385,-1.539923,147.64,Pública,Universidad Central del Ecuador (UCE),10,2023,2023-B,Periodismo,Masculino,19,Presencial,Quito,Arrendada,Chimbacalle,170121
Mtro. César,Montes, Santa Lucía, Guayas,-80.0426304,-1.7145863,237.82,Privada,Universidad Internacional del Ecuador (UIDE),5,2023,2023-B,Diseño Gráfico,Masculino,21,Híbrida,Quito,Arrendada,Belisario Quevedo,170129
Gil del,Cruz, Cariamanga, Loja,-79.5559525,-4.326038,471.04,Pública,Universidad Central del Ecuador (UCE),2,2024,2024-B,Periodismo,Femenino,21,Presencial,Quito,Familiar,El Beaterio,170123
Dr(a). Tomas,Olivera,Pasaje, El Oro,-79.7625976,-3.3234936,372.0,Pública,Escuela Politécnica del Ejército (ESPE),4,2024,2024-B,Enfermería,Masculino,22,Presencial,Quito,Propia,Gualea,170161
Emperatriz de,Cañizares,Guaranda, Bolívar,-79.0576662,-1.4398571,148.56,Pública,Escuela Politécnica del Ejército (ESPE),12,2024,2024-A,Psicopedagogía,Prefiere no decir,21,Presencial,Quito,Familiar,Cotocollao,170103
Hilda Astrid,Sánchez, Palenque, Los Ríos,-79.7182552,-1.3353343,182.63,Pública,Universidad Central del Ecuador (UCE),12,2024,2024-B,Comercio Exterior,Femenino,26,Presencial,Quito,Residencia universitaria,Quitumbe,170146
Clara Diana Acevedo,Ortiz,Ventanas, Los Ríos,-79.3351558,-1.3253915,153.21,Pública,Universidad Central del Ecuador (UCE),7,2023,2023-A,Comunicación Social,Masculino,17,Presencial,Quito,Arrendada,El Salvador,170106
Mia Morena Juan Gabriel Gomez,Flores, Narcisa de Jesús, Guayas,-80.2384404,-1.6118103,246.52,Pública,Escuela Politécnica Nacional (EPN),12,2023,2023-B,Hotelería,Masculino,22,Presencial,Quito,Familiar,Cotocollao,170103
María,Fuentes, La Maná, Cotopaxi,-79.1010573,-0.7841908,90.66,Pública,Universidad Central del Ecuador (UCE),8,2025,2025-B,Publicidad,Masculino,20,Presencial,Quito,Familiar,La Floresta,170109
Astrid Caicedo,Osorio, El Carmen, Manabí,-79.5741548,-0.4809541,121.58,Privada,Universidad Internacional del Ecuador (UIDE),3,2024,2024-B,Diseño Gráfico,No binario,21,Presencial,Quito,Familiar,Chaupicruz (La Concepcion),170104
Anselmo Company,Araujo,Atuntaqui, Imbabura,-78.219615,0.3316022,69.45,Pública,Universidad Central del Ecuador (UCE),1,2025,2025-A,Turismo,Femenino,18,Presencial,Quito,Familiar,Puerto Quito,170182
Fernanda Gómez,Morales, Naranjito, Guayas,-79.3904646,-2.1590388,236.66,Privada,Universidad Tecnológica Equinoccial (UTE),4,2023,2023-A,Ingeniería en Sistemas,Masculino,23,Presencial,Quito,Arrendada,Benalcazar,170102
Clementina Iborra,Calderon, Balzar, Guayas,-79.9367148,-1.3062992,199.16,Pública,Universidad Central del Ecuador (UCE),2,2023,2023-A,Economía,Masculino,22,Presencial,Quito,Arrendada,Yaruquì,170185
Gildardo Zambrano,Velandia, Rocafuerte, Manabí,-80.4012121,-0.9032437,223.34,Pública,Universidad Central del Ecuador (UCE),8,2025,2025-B,Comercio Exterior,Masculino,23,Presencial,Quito,Residencia universitaria,Puellaro,170178
Diana Liliana,Alvarado, Huaquillas, El Oro,-80.184453,-3.4756231,406.89,Privada,Universidad San Francisco de Quito (USFQ),4,2024,2024-B,Biología,Masculino,21,Presencial,Quito,Arrendada,Chimbacalle,170121
Lilia Yolanda Guzmán,Jaramillo,Caluma, Bolívar,-79.1963263,-1.5976675,171.01,Privada,Universidad Internacional del Ecuador (UIDE),2,2024,2024-A,Ingeniería Electrónica,No binario,20,Presencial,Quito,Arrendada,Alfaro (Chimbacalle),170101
Juana Arellano,Rodrígez, Paute, Azuay,-78.7362416,-2.7468493,282.05,Pública,Universidad Central del Ecuador (UCE),6,2024,2024-A,Educación Física,Masculino,20,Presencial,Quito,Arrendada,Quito,170150
María Luisa Jerónimo,Magaña, Mocache, Los Ríos,-79.5512661,-1.1979,158.63,Pública,Universidad Andina Simón Bolívar (UASB),6,2024,2024-B,Arquitectura,Masculino,22,Presencial,Quito,Arrendada,Pedro Vicente Maldonado,170173
Alberto Victoria,Espinoza,Ibarra, Imbabura,-78.1329448,0.5159369,92.08,Pública,Universidad Central del Ecuador (UCE),10,2025,2025-A,Tecnologías de la Información,Femenino,17,Presencial,Quito,Familiar,Pifo,170175
Victoria Bautista Ramos,Sosa,El Ángel, Carchi,-77.9396301,0.6211998,113.17,Pública,Escuela Politécnica Nacional (EPN),4,2025,2025-B,Química,Femenino,23,Presencial,Quito,Familiar,Puellaro,170178
Dr(a). Luisana,Gomez, La Joya de los Sachas, Orellana,-76.8611463,-0.3161424,183.91,Privada,Universidad de las Américas (UDLA),6,2023,2023-A,Ciencia de Datos,Femenino,27,Presencial,Quito,Residencia universitaria,Benalcazar,170102
Nancy Castrillón,Gómez, Muisne, Esmeraldas,-79.8817211,0.5387247,174.09,Pública,Universidad Central del Ecuador (UCE),2,2024,2024-A,Educación Inicial,Masculino,22,Presencial,Quito,Arrendada,Eloy Alfaro,170125
Sebastian Josefina Juarez,Gutierrez,Guaranda, Bolívar,-79.0576662,-1.4398571,148.56,Privada,Pontificia Universidad Católica del Ecuador (PUCE),10,2024,2024-A,Contabilidad,Prefiere no decir,20,Presencial,Quito,Familiar,Carcelen,170120
Sr(a). Valentina,Vega, Cumandá, Chimborazo,-79.103584,-2.2108666,230.91,Pública,Universidad Central del Ecuador (UCE),12,2024,2024-B,Arquitectura,Femenino,20,Presencial,Quito,Propia,San Bartolo,170148
Ángela,Figueras,Saraguro, Loja,-79.3063889,-3.5269465,378.14,Pública,Universidad Central del Ecuador (UCE),2,2025,2025-B,Ingeniería Química,Femenino,22,Presencial,Quito,Residencia universitaria,Lloa,170166
Andrés Vergara,Valencia, Chordeleg, Azuay,-78.7307218,-2.9844675,308.33,Pública,Escuela Politécnica del Ejército (ESPE),10,2024,2024-A,Diseño Gráfico,Masculino,20,Presencial,Quito,Residencia universitaria,El Inca,170124
Consuelo Milena,Álvarez, Durán, Guayas,-79.7895887,-2.2127014,263.15,Privada,Universidad de las Américas (UDLA),4,2025,2025-B,Medicina,Masculino,23,Presencial,Quito,Familiar,Benalcazar,170102
Lola Juana Fernandez,Flores, Shushufindi, Sucumbíos,-76.5906945,-0.2885051,213.81,Pública,Universidad Central del Ecuador (UCE),8,2024,2024-B,Contabilidad,Masculino,20,Presencial,Quito,Arrendada,El Batan,170122
Mora Julieta,Molina,Ventanas, Los Ríos,-79.3351558,-1.3253915,153.21,Pública,Universidad Central del Ecuador (UCE),7,2024,2024-B,Trabajo Social,Femenino,25,Presencial,Quito,Arrendada,El Beaterio,170123
Eric Cruz Ropero,Montserrat, Riobamba, Chimborazo,-78.6482479,-1.6732765,162.28,Pública,Escuela Politécnica del Ejército (ESPE),12,2023,2023-B,Ingeniería en Sistemas,Femenino,25,Presencial,Quito,Propia,Pifo,170175
Simon,Diaz, Puerto López, Manabí,-80.744524,-1.5440814,288.55,Pública,Universidad Central del Ecuador (UCE),9,2024,2024-A,Ingeniería Ambiental,Masculino,20,Presencial,Quito,Propia,Mariscal Sucre,170143
Milagros Emilia,Dominguez, Guayaquil, Guayas,-80.0983887,-2.2895167,289.88,Privada,Universidad Internacional del Ecuador (UIDE),8,2024,2024-B,Ingeniería en Sistemas,Femenino,20,En línea,Quito,Familiar,San Jose De Minas,170181
Amanda Janeth,Sandoval, Santa Lucía, Guayas,-80.0426304,-1.7145863,237.82,Pública,Universidad Central del Ecuador (UCE),5,2023,2023-B,Ingeniería Industrial,Femenino,20,Presencial,Quito,Arrendada,Kennedy,170138
Concepción Alberto,Arredondo, Alamor, Loja,-80.0197281,-4.0181681,454.31,Privada,Universidad de las Américas (UDLA),2,2025,2025-A,Educación Inicial,Femenino,20,Presencial,Quito,Familiar,Carcelen,170120
Santiago,Beltrán, Palora, Morona Santiago,-77.9675269,-1.6981449,175.15,Pública,Universidad Central del Ecuador (UCE),5,2025,2025-B,Química,Femenino,18,Presencial,Quito,Arrendada,Pedro Vicente Maldonado,170173
Angelina,Silva, Marcabelí, El Oro,-79.9223384,-3.7733434,425.02,Pública,Escuela Politécnica del Ejército (ESPE),8,2024,2024-B,Gastronomía,Femenino,18,Presencial,Quito,Arrendada,Ponceano,170144
Camila,Fernandez, Isidro Ayora, Guayas,-80.1463096,-1.8796754,258.94,Pública,Universidad Central del Ecuador (UCE),10,2025,2025-B,Arquitectura,Masculino,24,Presencial,Quito,Arrendada,La Magdalena,170111
Roque Rodríguez,Gilabert, Tulcán, Carchi,-77.7172151,0.8115707,144.84,Pública,Universidad Central del Ecuador (UCE),9,2024,2024-A,Física,Femenino,23,Presencial,Quito,Residencia universitaria,Puellaro,170178
Lic. Amador,Valdés,Arenillas, El Oro,-80.0974316,-3.5859238,413.63,Pública,Universidad Central del Ecuador (UCE),12,2023,2023-A,Ingeniería Automotriz,Femenino,23,Presencial,Quito,Arrendada,La Concepción,170127
María Eugenia Cepeda,Rivera, Palora, Morona Santiago,-77.9675269,-1.6981449,175.15,Pública,Escuela Politécnica del Ejército (ESPE),12,2023,2023-B,Ingeniería Ambiental,Masculino,20,Presencial,Quito,Familiar,La Floresta,170109
Mario Humberto Mora,Serrano,Otavalo, Imbabura,-78.2454274,0.2227636,57.5,Pública,Universidad Central del Ecuador (UCE),12,2024,2024-B,Ingeniería Electrónica,Masculino,25,Presencial,Quito,Arrendada,Guayllabamba,170163
Maria Emilia Agustin,Perez, Calceta, Manabí,-80.1640382,-0.8480934,196.48,Privada,Pontificia Universidad Católica del Ecuador (PUCE),9,2023,2023-A,Hotelería,Masculino,20,Presencial,Quito,Familiar,Atahualpa (Chabaspamba),170153
Nicolás Mercedes Griego,Laureano,Sucúa, Morona Santiago,-78.1727383,-2.4560109,251.46,Privada,Universidad de las Américas (UDLA),1,2023,2023-A,Negocios Internacionales,Masculino,23,Presencial,Quito,Familiar,Calderon (Carapungo),170155
Luz Milagros Martinez,Romero,Ibarra, Imbabura,-78.1329448,0.5159369,92.08,Privada,Pontificia Universidad Católica del Ecuador (PUCE),9,2024,2024-A,Ingeniería en Sistemas,Masculino,17,Presencial,Quito,Residencia universitaria,Atahualpa (Chabaspamba),170153
Carlos Guardia,Piñol,Pujilí, Cotopaxi,-78.8559205,-1.0077046,95.54,Pública,Escuela Politécnica Nacional (EPN),7,2024,2024-B,Psicología,Masculino,20,Presencial,Quito,Arrendada,Mariscal Sucre,170143
Andrea Linda,Pantoja, Portoviejo, Manabí,-80.4534134,-1.05282,234.85,Pública,Universidad Central del Ecuador (UCE),9,2023,2023-B,Matemáticas,Masculino,20,Híbrida,Quito,Arrendada,El Batan,170122
Camilo Alberto Guerrero,Espitia, Naranjito, Guayas,-79.3904646,-2.1590388,236.66,Pública,Universidad Central del Ecuador (UCE),8,2025,2025-A,Ingeniería en Sistemas,Masculino,20,Presencial,Quito,Familiar,La Ferroviaria,170141
Fortunata,Tapia-Aguado,Catacocha, Loja,-79.6497578,-4.0503147,444.24,Pública,Universidad Central del Ecuador (UCE),1,2025,2025-B,Ingeniería Mecánica,Masculino,17,Presencial,Quito,Arrendada,San Roque,170115
Henry,Márquez, San Miguel, Bolívar,-79.127262,-1.8120574,189.75,Pública,Universidad Central del Ecuador (UCE),12,2024,2024-B,Diseño de Modas,Femenino,22,Presencial,Quito,Arrendada,Condado,170134
Sr(a). Pilar,Perez, El Tambo, Cañar,-78.9133964,-2.4828078,255.51,Pública,Universidad Central del Ecuador (UCE),8,2024,2024-B,Ingeniería Industrial,Masculino,23,Presencial,Quito,Arrendada,Guangopolo,170162
Francesca Carrizo,Figueroa, Archidona, Napo,-77.955042,-0.7160712,82.95,Pública,Universidad Central del Ecuador (UCE),8,2025,2025-B,Arquitectura,Masculino,19,Presencial,Quito,Familiar,Pomasqui,170177
Carolina,Tejeda,El Triunfo, Guayas,-79.3660575,-2.2907784,249.03,Pública,Escuela Politécnica del Ejército (ESPE),11,2023,2023-B,Contabilidad,Masculino,18,Presencial,Quito,Arrendada,Condado,170134
Martina Amores,Blanes, Chambo, Chimborazo,-78.5425997,-1.74403,169.48,Privada,Universidad Tecnológica Indoamérica (UTI),3,2025,2025-B,Biología,Femenino,19,Presencial,Quito,Arrendada,Benalcazar,170102
Mateo Ezequiel Joaquin,Perez, Tabacundo, Pichincha,-78.2216436,0.048201,43.99,Pública,Universidad Andina Simón Bolívar (UASB),1,2025,2025-B,Artes Visuales,Femenino,22,Presencial,Quito,Propia,Cotocollao,170103
Lorena Claudia Cuéllar,Castro, Santa Isabel, Azuay,-79.3594118,-3.1839392,342.74,Privada,Universidad Tecnológica Equinoccial (UTE),8,2025,2025-A,Psicopedagogía,Masculino,19,Presencial,Quito,Arrendada,Checa (Chilpa),170159
Miguel Angel Valentin Cardozo,Rodriguez, Loreto, Orellana,-77.3252738,-0.6471884,140.27,Pública,Escuela Politécnica Nacional (EPN),3,2025,2025-A,Psicología,Femenino,20,Presencial,Quito,Arrendada,Santa Barbara,170117
Camila Sara Arango,Gallego,Bucay, Guayas,-79.1376329,-2.2004367,230.91,Pública,Escuela Politécnica Nacional (EPN),3,2024,2024-A,Nutrición,Masculino,18,En línea,Quito,Arrendada,Puerto Quito,170182
Alejandra Silvia,Corral,San Lorenzo, Esmeraldas,-78.6869333,0.9850634,135.41,Pública,Universidad Central del Ecuador (UCE),1,2024,2024-A,Ingeniería Civil,Masculino,25,Presencial,Quito,Familiar,Mariscal Sucre,170143
Mario Yolanda,Carrero, Pelileo, Tungurahua,-78.537307,-1.3573827,126.48,Pública,Escuela Politécnica Nacional (EPN),11,2023,2023-A,Laboratorio Clínico,Masculino,21,Presencial,Quito,Arrendada,San Blas,170113
Francisco,Negrete,Arenillas, El Oro,-80.0974316,-3.5859238,413.63,Pública,Universidad Central del Ecuador (UCE),5,2023,2023-A,Ingeniería Petroquímica,Masculino,23,Presencial,Quito,Propia,Puerto Quito,170182
