nombre,apellido,ciudad,provincia,longitud,latitud,distancia,tipo_universidad,universidad,semestre,anio,periodo,carrera,genero,edad,modalidad,zona,tipo_vivienda,sector,codigo_postal
,Ruiz,San Vicente, Manabí,-80.3761409,-0.4373946,208.65,Pública,Universidad Central del Ecuador (UCE),5,2024,2024-B,Educación Física,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,18,Presencial,Quito,Arrendada,Guayllabamba,170163
Alexandra Paula,Carrillo, San Gabriel, Carchi,-77.835319,0.598485,-50,Privada,Universidad de las Américas (UDLA),5,2024,2024-A,Turismo,Masculino,23,,Quito,Propia,<script>,BAD
Aldonza,Muro, Montalvo, Los Ríos,-79.348133,-1.8025855,198.99,Privada,Universidad de las Américas (UDLA),11,2024,2024-A,Administración,Femenino,19,Presencial,Quito,Arrendada,Calacali,170154
Elena Camargo,Serna, Sucre,{BAD},-80.4199056,<NULL>,219.63,Pública,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,9,2025,2025-B,Medicina,Femenino,23,Presencial,Quito,Residencia universitaria,Puerto Quito,###CORRUPT###
{BAD},,@@@, Guayas,-79.4218634,-2.0424101,226.45,Pública,Universidad Central del Ecuador (UCE),5,2025,2025-A,Matemáticas,Masculino,22,,INVALID,Arrendada,Mindo,170167
Victor Manuel Lázaro Durán,Mir, Guayaquil, Guayas,-80.0983887,-2.2895167,BROKEN,Privada,Pontificia Universidad Católica del Ecuador (PUCE),1,2024,2024-A,Psicología,Masculino,26,Presencial,Quito,Propia,Nayón,170170
Chita Juárez,Domingo,Sucúa, Morona Santiago,-78.1727383,-2.4560109,251.46,Privada,{BAD},6,2024,2024-A,Finanzas,Masculino,17,Presencial,Quito,BROKEN,Carcelen,170120
María,Gómez,Cayambe, Pichincha,-77.9889555,0.0251586,64.27,Pública,Universidad Central del Ecuador (UCE),9,2024,2024-A,{BAD},Femenino,25,Presencial,Quito,Familiar,Nono,
Mercedes María del Carmen Méndez,Malave,Caluma, Bolívar,-79.1963263,-1.5976675,171.01,Pública,Escuela Politécnica del Ejército (ESPE),,2025,2025-B,Biología,###CORRUPT###,19,Presencial,Quito,Arrendada,La Ecuatoriana,170140
,,,,,,,,,,,,,,,,,,,
Ángela Francia Ortiz,Martínez,<NULL>, Bolívar,###CORRUPT###,-1.4469547,160.54,Pública,∞∞∞,11,2024,2024-A,!ERROR!,Femenino,VAL7510,Presencial,Quito,Propia,San Roque,170115
Juan Sebastian Romero,Lopez, San Miguel de Los Bancos,###CORRUPT###,-78.9214659,-0.0188368,50.7,Pública,Escuela Politécnica del Ejército (ESPE),9,2024,2024-B,Criminología,Masculino,22,Presencial,Quito,Familiar,Tumbaco,170184
Ana Gutiérrez,García,Macas, Morona Santiago,,-2.3046252,235.9,Pública,Escuela Politécnica Nacional (EPN),8,2025,<NULL>,Derecho,Masculino,25,Presencial,{BAD},Arrendada,Santa Barbara,170117
Lorenzo Quiroga,,###CORRUPT###,{BAD},-80.6606834,-1.0504072,256.09,Pública,Universidad Central del Ecuador (UCE),2,2023,2023-B,Contabilidad,Femenino,18,Presencial,Quito,Residencia universitaria,Nanegalito,170169
Arcelia Sanz,Mir, Lomas de Sargentillo, Guayas,-80.0789495,-1.8348374,250.14,Pública,Universidad Central del Ecuador (UCE),9,2025,2025-B,Biología,Masculino,17,Presencial,@@@,<NULL>,Rumipamba,170147
Dr(a). Benjamin,Sanchez,INVALID, El Oro,-79.5131743,-3.5111939,382.47,684769,Universidad Central del Ecuador (UCE),11,2025,2025-B,Química,Femenino,20,Presencial,Quito,Arrendada,Cotocollao,170103
Belén Herrera,Peiró, Huaquillas, El Oro,-80.184453,-3.4756231,406.89,Pública,Universidad Central del Ecuador (UCE),9,2024,2024-B,Nutrición,Femenino,21,En línea,Quito,Familiar,Pintag,170176
Javier Felipe Salamanca,@@@,Otavalo, Imbabura,-78.2454274,0.2227636,57.5,Privada,Universidad San Francisco de Quito (USFQ),5,2023,2023-A,Gastronomía,Femenino,22,Presencial,Quito,Arrendada,±§¶,170105
Quirino Alberto,Castell,Bucay, Guayas,-79.1376329,-2.2004367,230.91,Pública,Universidad Central del Ecuador (UCE),6,2025,2025-A,Tecnologías de la Información,Masculino,21,Híbrida,Quito,Familiar,San Marcos,170114
Herminio Hidalgo,Osorio, La Troncal, Cañar,-79.3751632,-2.433689,264.16,Pública,Escuela Politécnica Nacional (EPN),6,2024,2024-B,Diseño de Modas,Femenino,19,Presencial,Quito,@@@,Rumipamba,170147
Alexandra Martha,Muñoz, Naranjito, Guayas,@@@,-2.1590388,236.66,Privada,Universidad Tecnológica Indoamérica (UTI),10,ERR,2025-B,Tecnologías de la Información,Femenino,23,Presencial,Quito,Arrendada,Belisario Quevedo,170129
Steven Jaime,Gómez,Sangolquí,###CORRUPT###,-78.4483476,-0.3288822,INVALID,Pública,Escuela Politécnica del Ejército (ESPE),3,2024,2024-B,Educación Básica,Femenino,21,Presencial,Quito,Arrendada,El Inca,170124
,,,,,,,INVALID,,BROKEN,,,,,,,,,,
Sr(a). Thiago Valentin,Herrera,El Triunfo, Guayas,VAL4933,-2.2907784,249.03,Pública,Universidad Central del Ecuador (UCE),12,2025,2025-B,Ciberseguridad,Femenino,17,Presencial,Quito,Familiar,Cotocollao,170103
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Sáenz, Riobamba, Chimborazo,BROKEN,200,162.28,Pública,Universidad Central del Ecuador (UCE),8,2023,2023-A,NO DEFINIDA,No binario,19,Híbrida,Quito,Arrendada,Guapulo,170108
Geronimo Gomez,Ferreyra, Cañar, Cañar,-79.1800778,-2.4749335,261.48,Pública,Universidad Central del Ecuador (UCE),2,2025,2025-B,Psicología,Femenino,22,Presencial,Quito,Arrendada,La Ecuatoriana,170140
Karen Adriana,±§¶,Latacunga, Cotopaxi,-78.6145758,-0.9340311,80.19,{BAD},Escuela Politécnica del Ejército (ESPE),11,2025,2025-B,Psicología Clínica,Femenino,22,Presencial,Quito,Arrendada,Nayón,170170
Stiven,Mercado,Sangolquí, Pichincha,-78.4483476,-0.3288822,14.03,Pública,Escuela Politécnica Nacional (EPN),4,2024,2024-A,Diseño Gráfico,Femenino,21,Presencial,Quito,Arrendada,El Batan,BROKEN
Fernanda Gómez,Morales,<NULL>, Guayas,-79.3904646,-2.1590388,236.66,Privada,Universidad Tecnológica Equinoccial (UTE),4,2023,2023-A,Ingeniería en Sistemas,Masculino,23,Presencial,Quito,Arrendada,Benalcazar,170102
Jessica,Gómez,Pujilí, Cotopaxi,-78.8559205,-1.0077046,95.54,Pública,Escuela Politécnica Nacional (EPN),11,2024,@@@,Arquitectura,Femenino,23,∞∞∞,Quito,Arrendada,La Ecuatoriana,@@@
Camila,Barrios, La Joya de los Sachas, Orellana,<NULL>,200,183.91,Pública,Escuela Politécnica Nacional (EPN),???,2023,2023-A,Diseño de Modas,Masculino,20,Presencial,Quito,Arrendada,La Magdalena,170111
Dr(a). Francisco,Gomez,El Triunfo,###CORRUPT###,-79.3660575,-2.2907784,249.03,Privada,Universidad Internacional del Ecuador (UIDE),3,2024,XX-XX,Matemáticas,Masculino,19,Presencial,Quito,Arrendada,Checa (Chilpa),170159
588631,Lopez, San Miguel de Los Bancos, Pichincha,-78.9214659,-0.0188368,50.7,Privada,Universidad Internacional del Ecuador (UIDE),9,99999.0,2024-A,Ingeniería Biomédica,Femenino,23,Presencial,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Arrendada,,170102
,Valencia, Coronel Marcelino Maridueña, Guayas,-79.3861649,###CORRUPT###,244.02,Privada,BROKEN,3,2024,2024-A,Enfermería,Masculino,18,###CORRUPT###,Quito,Arrendada,Chilibulo,<NULL>
Mtro. Delia,<NULL>, Narcisa de Jesús, Guayas,-80.2384404,-1.6118103,246.52,,Universidad Central del Ecuador (UCE),1,2023,2023-A,Periodismo,Masculino,17,{BAD},Quito,<NULL>,La Magdalena,170111
Gilma Muñoz,Duarte, San Miguel, Bolívar,-79.127262,-1.8120574,189.75,Pública,Universidad Central del Ecuador (UCE),INVALID,2024,2024-A,Odontología,Femenino,25,En línea,Quito,Arrendada,Gonzalez Suarez,170107
Santino,Romero,<NULL>, Cotopaxi,-78.6145758,-0.9340311,80.19,Pública,Universidad Central del Ecuador (UCE),8,2025,2025-B,Ciberseguridad,Prefiere no decir,22,Híbrida,Quito,Arrendada,Puerto Quito,170182
###CORRUPT###,BROKEN,,,,BROKEN,INVALID,,,,,,,,,,,,,
Luis Hoyos,Tur, Guano, Chimborazo,-78.6578385,-1.539923,147.64,Pública,Escuela Politécnica del Ejército (ESPE),8,2025,###CORRUPT###,Física,Masculino,23,BROKEN,Quito,Arrendada,San Marcos,170114
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Ponce,Quinsaloma,###CORRUPT###,-79.3468998,-1.1460552,138.6,Pública,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,12,2024,2024-B,Educación Física,Masculino,20,Presencial,Quito,Residencia universitaria,Santa Barbara,170117
Esmeralda Cecilia Zarate,Urías, Cañar, Cañar,-79.1800778,-2.4749335,261.48,Pública,Escuela Politécnica del Ejército (ESPE),3,2023,2023-A,Arquitectura,Masculino,19,Presencial,Quito,Propia,Puellaro,BAD
Karla Serafín,Badillo, Naranjito, Guayas,-79.3904646,,236.66,Pública,Escuela Politécnica Nacional (EPN),6,2025,2025-B,NO DEFINIDA,Masculino,21,Presencial,Quito,Residencia universitaria,Mariscal Sucre,170143
Remigio Reina,Barranco, Calceta, Manabí,-80.1640382,-0.8480934,196.48,<script>,±§¶,0,2025,2025-B,Ingeniería en Sistemas,Femenino,21,Presencial,Quito,Arrendada,Eloy Alfaro,170125
,<NULL>,, Esmeraldas,-79.6523847,0.9668153,183.0,Pública,Escuela Politécnica Nacional (EPN),7,2023,2023-A,Física,Femenino,150,Presencial,Quito,###CORRUPT###,Guayllabamba,<NULL>
,,,{BAD},,,{BAD},,,,,,,,,,,,,
,,,,,{BAD},-50,BROKEN,,,,,NO DEFINIDA,,,,,,,
Feliciana Seco,Duque, Santa Ana, Manabí,-80.2631268,-1.1944701,222.78,Pública,Universidad Central del Ecuador (UCE),5,2024,<NULL>,@@@,Femenino,###CORRUPT###,Híbrida,BROKEN,Residencia universitaria,Rumipamba,170147
Dylan Ezequiel Morena,Rojas, San Gabriel, Carchi,-77.835319,200,118.12,Pública,Universidad Central del Ecuador (UCE),INVALID,2025,2025-B,Contabilidad,Femenino,17,Presencial,INVALID,Residencia universitaria,Santa Prisca,170118
Germán Raya,Guerrero, Balsas, El Oro,{BAD},-3.7742179,###CORRUPT###,Pública,Universidad Central del Ecuador (UCE),2,2023,2023-A,Educación Inicial,Femenino,24,Híbrida,Quito,Arrendada,Quito,170150
Guadalupe Leiva,Muñoz,Loja, Loja,-79.2016661,-3.996845,426.87,Pública,Universidad Central del Ecuador (UCE),10,2025,2025-A,Arquitectura,Femenino,22,{BAD},Quito,Arrendada,Cotocollao,170103
Baldomero Porras,Campos, Puerto López,###,-80.744524,-1.5440814,288.55,Pública,Universidad Central del Ecuador (UCE),1,2024,2024-A,{BAD},Masculino,22,INVALID,Quito,Familiar,BROKEN,170145
Eduard Hernán,López,Salinas, Santa Elena,-80.9237973,-2.2612497,351.24,Pública,Universidad Central del Ecuador (UCE),2,2024,@@@,Ingeniería Mecánica,Masculino,19,Presencial,Quito,INVALID,La Ecuatoriana,170140
